id,attr_time,attr_x,attr_y,attr_z
9722772,1532766819003,-1.85311,9.56244,2.67672
9722773,1532766819026,-1.07739,9.59596,-0.742202
9722774,1532766819047,-0.761356,9.78271,3.9217
9722775,1532766819067,-1.4461,9.90721,-0.986411
9722776,1532766819088,-0.220267,11.0756,1.61369
9722777,1532766819108,-0.612916,10.0365,-2.74376
9722778,1532766819128,-0.129287,11.5592,0.938527
9722779,1532766819147,-0.0670377,9.98382,0.349553
9722780,1532766819167,-0.632069,10.8026,1.37906
9722781,1532766819188,0.656011,11.6981,0.138864
9722782,1532766819209,-0.0287304,11.6789,2.19309
9722783,1532766819230,-0.459687,10.6925,0.646435
9722784,1532766819248,-0.665588,9.27514,0.9912
9722785,1532766819270,-1.26893,11.6741,1.33596
9722786,1532766819291,0.0287304,10.3573,0.143652
9722787,1532766819309,2.38463,10.2041,1.78129
9722788,1532766819330,0.220267,10.4722,-0.967257
9722789,1532766819352,-0.387861,11.2623,0.349553
9722790,1532766819370,-0.42138,10.4052,0.497994
9722791,1532766819392,-1.51792,9.47146,2.5187
9722792,1532766819412,1.86748,9.73482,-1.0343
9722793,1532766819432,0.0718261,8.04452,2.05901
9722794,1532766819452,-0.804452,9.13627,-0.536301
9722795,1532766819471,0.277727,10.3334,1.76213
9722796,1532766819493,-0.311246,9.77792,1.26893
9722797,1532766819514,1.88184,9.84017,-2.41336
9722798,1532766819534,-0.047884,9.20331,1.86748
9722799,1532766819555,-2.63841,10.501,0.296881
9722800,1532766819572,-0.488417,11.7412,2.42772
9722801,1532766819595,0.713472,10.9415,-0.861913
9722802,1532766819615,-2.26491,9.24162,0.191536
9722803,1532766819635,-1.20189,10.5105,0.0909797
9722804,1532766819658,-0.823605,10.2615,2.53785
9722805,1532766819675,-1.13964,7.6806,-0.80924
9722806,1532766819696,-0.670377,9.6199,3.17471
9722807,1532766819716,-1.56102,10.0269,0.866701
9722808,1532766819736,-0.785298,9.73482,0.986411
9722809,1532766819759,-2.44687,8.8346,1.71425
9722810,1532766819775,1.23062,8.91601,1.8579
9722811,1532766819797,-0.191536,10.2424,0.622492
9722812,1532766819818,-2.35589,7.79552,0.339977
9722813,1532766819838,-0.699107,11.1474,2.63841
9722814,1532766819857,-0.555455,9.27993,-0.656011
9722815,1532766819877,-1.53229,9.18895,2.63841
9722816,1532766819896,-1.16358,10.07,0.248997
9722817,1532766819919,-2.26491,11.4012,3.87382
9722818,1532766819938,-1.66636,11.4108,-0.469264
9722819,1532766819957,-0.167594,11.8705,-0.42138
9722820,1532766819978,-3.32315,10.9511,0.440533
9722821,1532766819998,-1.72383,11.7651,1.18274
9722822,1532766820022,-0.416591,10.1371,2.85389
9722823,1532766820039,-0.92895,11.6693,-3.20823
9722824,1532766820059,-2.47082,9.68215,0.397437
9722825,1532766820080,-0.756568,12.1961,1.18752
9722826,1532766820101,-1.12527,10.975,1.5275
9722827,1532766820122,-0.497994,8.5473,0.761356
9722828,1532766820144,-0.833182,10.7739,1.35512
9722829,1532766820161,-1.2402,9.18895,0.253785
9722830,1532766820181,-0.861913,9.32781,0.967257
9722831,1532766820202,-1.75734,9.68215,1.18752
9722832,1532766820224,-0.699107,9.9503,0.507571
9722833,1532766820245,-0.895431,10.7595,1.48919
9722834,1532766820262,-0.464475,10.9367,0.761356
9722835,1532766820283,0.23942,9.8689,1.88663
9722836,1532766820306,0.282516,10.0078,0.641646
9722837,1532766820324,0.258574,9.663,0.71826
9722838,1532766820344,-0.708684,10.5872,-0.134075
9722839,1532766820365,-0.703895,11.1666,1.71904
9722840,1532766820385,-0.502782,10.3286,0.0143652
9722841,1532766820406,0.349553,10.3908,2.87783
9722842,1532766820428,-0.699107,11.406,0.268151
9722843,1532766820447,-1.05345,11.8274,-1.16358
9722844,1532766820468,-0.756568,8.85855,0.995988
9722845,1532766820489,-1.0343,9.76834,0.416591
9722846,1532766820508,-1.51792,9.77792,1.60412
9722847,1532766820529,-1.25456,9.51935,2.71981
9722848,1532766820547,-1.66636,8.71968,-0.167594
9722849,1532766820567,-1.69509,11.3102,2.31759
9722850,1532766820587,-0.54109,9.57202,0.474052
9722851,1532766820609,-0.684742,10.4962,1.72861
9722852,1532766820629,-0.440533,10.8505,-0.665588
9722853,1532766820648,-0.665588,10.6494,1.21147
9722854,1532766820667,-1.18274,11.2432,0.0430956
9722855,1532766820688,0.325611,9.7875,1.91536
9722856,1532766820710,-1.49877,8.13071,1.75734
9722857,1532766820731,-0.220267,9.71567,0.775721
9722858,1532766820749,-2.08774,10.4435,0.335188
9722859,1532766820769,-0.68953,10.0221,0.713472
9722860,1532766820792,-0.0574608,9.80665,0.608127
9722861,1532766820812,0.234632,10.1083,0.852336
9722862,1532766820832,-0.90022,12.1721,0.47884
9722863,1532766820850,-0.105345,10.3238,-1.22104
9722864,1532766820872,-0.837971,9.663,2.47082
9722865,1532766820892,-3.31836,9.62948,1.1157
9722866,1532766820911,-0.785298,9.96467,1.652
9722867,1532766820930,-1.41258,9.43315,2.42293
9722868,1532766820952,0.59855,7.80031,-0.0383072
9722869,1532766820971,-0.80924,10.252,2.32238
9722870,1532766820990,-0.373495,10.8936,0.296881
9722871,1532766821014,1.70467,10.1945,2.07338
9722872,1532766821035,-0.636858,10.1179,-0.699107
9722873,1532766821055,-1.53229,9.80665,0.59855
9722874,1532766821073,-0.785298,9.81623,3.36146
9722875,1532766821094,-2.06859,9.62948,2.12126
9722876,1532766821115,-2.14999,11.3581,-0.167594
9722877,1532766821135,0.550666,12.4642,0.459687
9722878,1532766821157,-1.33118,9.19373,0.138864
9722879,1532766821174,-0.617704,10.5441,1.66636
9722880,1532766821196,-1.36469,10.8936,-0.440533
9722881,1532766821217,-1.50356,9.94073,-0.191536
9722882,1532766821237,-1.09176,10.9702,1.58975
9722883,1532766821256,-0.828394,11.0852,1.09654
9722884,1532766821277,-0.933739,10.4579,1.88184
9722885,1532766821298,-1.9824,10.6303,0.857124
9722886,1532766821316,-1.73819,10.4674,2.73897
9722887,1532766821337,-1.23062,10.4196,0.794875
9722888,1532766821356,0.536301,9.8689,-1.36948
9722889,1532766821377,-1.35512,9.79707,2.16915
9722890,1532766821399,-1.45567,9.73961,0.675165
9722891,1532766821419,-0.368707,9.2081,1.30723
9722892,1532766821440,-0.325611,9.74919,1.16837
9722893,1532766821458,-1.08218,9.35175,0.0574608
9722894,1532766821479,0.670377,10.0365,2.07338
9722895,1532766821501,0.191536,9.85932,-2.05901
9722896,1532766821521,-0.670377,8.84897,1.52271
