id,attr_time,attr_x,attr_y,attr_z
9531509,1532762941018,-0.919373,9.5385,2.28886
9531510,1532762941038,0.646435,8.88728,0.545878
9531511,1532762941057,-6.95755,9.81144,5.6551
9531512,1532762941077,-7.50822,10.8122,4.68785
9531513,1532762941097,-1.80523,10.6973,4.13718
9531514,1532762941119,0.11971,11.5305,0.703895
9531515,1532762941140,0.0574608,10.161,3.77326
9531516,1532762941157,-0.565032,10.5536,-0.402226
9531517,1532762941177,-0.6608,10.9942,0.608127
9531518,1532762941201,-0.967257,9.98382,3.33752
9531519,1532762941221,-0.948104,9.27035,-0.296881
9531520,1532762941241,-1.49398,11.3102,2.60968
9531521,1532762941259,-0.981623,10.1658,0.3304
9531522,1532762941280,0.526724,10.9894,1.71425
9531523,1532762941302,-1.29766,10.1227,2.68629
9531524,1532762941322,1.4461,10.9894,3.27048
9531525,1532762941342,-0.531513,10.4483,2.07338
9531526,1532762941361,-1.23541,9.67736,1.31202
9531527,1532762941381,-0.363919,11.0181,0.579397
9531528,1532762941402,2.37984,11.5544,2.09253
9531529,1532762941423,-0.656011,9.78271,1.01035
9531530,1532762941444,-1.72383,8.09719,-1.35033
9531531,1532762941462,-2.30801,9.28471,1.34554
9531532,1532762941482,-0.881066,10.0796,1.48919
9531533,1532762941512,-0.47884,11.1139,0.378284
9531534,1532762941521,-2.2697,9.44273,0.895431
9531535,1532762941541,-1.43173,10.1945,-1.68073
9531536,1532762941561,-0.641646,10.319,2.31759
9531537,1532762941585,0.100556,10.4244,0.967257
9531538,1532762941606,-1.75734,10.568,0.105345
9531539,1532762941626,-0.54109,10.4722,-0.0574608
9531540,1532762941645,-1.1971,10.2089,0.967257
9531541,1532762941667,-1.10133,9.7444,1.61369
9531542,1532762941687,-1.82438,9.02614,1.58017
9531543,1532762941707,0.651223,10.0652,3.78763
9531544,1532762941728,2.91614,10.8888,1.24498
9531545,1532762941746,-0.0814029,9.90721,2.33195
9531546,1532762941766,0.387861,10.8362,1.80044
9531547,1532762941788,-2.05423,8.81066,-0.0526724
9531548,1532762941809,-0.694318,10.6638,2.48518
9531549,1532762941827,1.02472,10.477,2.94487
9531550,1532762941845,-0.205901,10.3286,0.622492
9531551,1532762941867,-0.325611,9.79707,2.08296
9531552,1532762941888,-0.550666,9.29429,0.895431
9531553,1532762941908,0.225055,9.26077,0.684742
9531554,1532762941926,-2.73418,8.7963,1.71425
9531555,1532762941947,-1.05345,10.3382,0.105345
9531556,1532762941967,-0.378284,10.8266,1.59454
9531557,1532762941989,-0.201113,8.86812,2.7677
9531558,1532762942012,-0.842759,8.72926,-0.0430956
9531559,1532762942032,-0.775721,9.95988,2.15478
9531560,1532762942052,-0.675165,8.77714,0.608127
9531561,1532762942071,-1.80044,10.0126,2.57137
9531562,1532762942091,-0.746991,8.97826,0.292093
9531563,1532762942113,-0.890643,8.37492,-0.464475
9531564,1532762942133,-1.29287,11.4203,0.612916
9531565,1532762942156,-0.794875,9.37091,1.2785
9531566,1532762942171,-0.761356,9.18895,0.445322
9531567,1532762942194,-0.608127,9.80186,0.282516
9531568,1532762942215,1.87705,10.4818,1.96803
9531569,1532762942235,-0.316035,9.30866,3.34231
9531570,1532762942257,-1.81002,11.5784,0.0
9531571,1532762942274,-2.54743,9.09318,2.3128
9531572,1532762942296,0.383072,8.82982,0.92895
9531573,1532762942316,-1.16837,9.81623,2.24576
9531574,1532762942336,-1.37906,9.72525,2.27449
9531575,1532762942356,1.33596,10.8362,-1.33596
9531576,1532762942375,1.18752,9.02135,1.39821
9531577,1532762942395,-1.66636,10.8266,-0.023942
9531578,1532762942417,-1.26893,9.41879,0.105345
9531579,1532762942437,0.732626,8.86333,1.78129
9531580,1532762942458,-0.287304,9.84975,0.727837
9531581,1532762942477,-0.0143652,12.22,-2.53785
9531582,1532762942496,2.3942,9.31823,2.73418
