id,attr_time,attr_x,attr_y,attr_z
10050595,1532796833003,-6.66546,-4.15155,-1.78607
10050596,1532796833021,-7.18739,-4.93206,-0.268151
10050597,1532796833041,-8.50421,-4.28562,1.31681
10050598,1532796833065,-9.0836,-4.02705,2.52349
10050599,1532796833084,-9.71567,-3.97916,3.18429
10050600,1532796833104,-10.5249,-4.92248,3.11246
10050601,1532796833125,-11.9471,-5.6982,2.2314
10050602,1532796833144,-12.6845,-5.69341,0.80924
10050603,1532796833166,-12.2152,-6.00945,0.837971
10050604,1532796833186,-11.224,-6.09085,0.833182
10050605,1532796833205,-10.3525,-5.70299,1.66636
10050606,1532796833224,-9.87848,-5.30555,1.95846
10050607,1532796833245,-9.25598,-4.64954,1.68073
10050608,1532796833267,-9.59117,-4.03184,0.837971
10050609,1532796833287,-9.18416,-3.94564,0.153229
10050610,1532796833305,-9.31344,-4.05099,0.0287304
10050611,1532796833327,-9.27514,-3.95522,0.114922
10050612,1532796833346,-8.61913,-4.0031,-0.0670377
10050613,1532796833369,-8.81066,-3.93128,-0.134075
10050614,1532796833389,-9.165,-4.10845,0.0287304
10050615,1532796833407,-9.73004,-3.76369,0.42138
10050616,1532796833428,-9.61511,-3.7972,0.521936
10050617,1532796833446,-8.93516,-3.94564,0.555455
10050618,1532796833470,-8.19296,-3.80678,0.622492
10050619,1532796833490,-7.76679,-3.77805,0.770933
10050620,1532796833508,-7.69496,-3.72538,0.924162
10050621,1532796833529,-7.93917,-3.84988,1.26893
10050622,1532796833549,-8.46111,-4.07972,1.4461
10050623,1532796833571,-9.31823,-4.23295,1.38864
10050624,1532796833592,-9.93115,-4.14197,0.957681
10050625,1532796833612,-9.9934,-4.08451,0.54109
10050626,1532796833630,-9.85932,-3.94564,0.0047884
10050627,1532796833651,-10.1131,-3.90255,-0.268151
10050628,1532796833671,-10.2663,-3.72059,-2.25534
10050629,1532796833693,-9.49062,-3.35188,-1.15401
10050630,1532796833712,-9.50019,-3.2609,-1.0343
10050631,1532796833731,-9.46189,-3.02148,-1.403
10050632,1532796833752,-9.7875,-3.055,-1.55144
10050633,1532796833774,-9.6199,-2.82516,-1.56581
10050634,1532796833794,-9.21289,-2.47082,-1.04387
10050635,1532796833812,-8.80109,-2.16915,-0.392649
10050636,1532796833833,-8.11155,-1.88663,-0.047884
10050637,1532796833853,-7.48427,-1.62806,0.483629
10050638,1532796833876,-6.87615,-1.7334,1.37427
10050639,1532796833896,-6.19619,-1.71904,2.20267
10050640,1532796833913,-5.89452,-1.74777,2.40378
10050641,1532796833935,-5.88974,-2.15957,2.29843
10050642,1532796833957,-5.95199,-2.87304,1.64721
10050643,1532796833977,-6.26802,-4.35266,0.632069
10050644,1532796833997,-8.35098,-5.17148,0.229843
10050645,1532796834019,-10.1993,-5.83228,0.670377
10050646,1532796834035,-11.1187,-6.17704,0.756568
10050647,1532796834057,-11.248,-6.41167,1.34075
10050648,1532796834080,-9.97903,-5.98072,4.71179
10050649,1532796834099,-6.54096,-5.78918,8.21211
10050650,1532796834116,-5.00867,-4.47237,9.28471
10050651,1532796834138,-5.83706,-3.86903,6.53138
10050652,1532796834158,-6.00466,-4.15633,4.73094
10050653,1532796834180,-5.92326,-4.58729,4.24253
10050654,1532796834200,-5.21457,-4.24253,4.30956
10050655,1532796834218,-4.58729,-4.1707,6.08606
10050656,1532796834239,-4.458,-3.16035,7.24485
10050657,1532796834259,-4.51546,-4.7884,7.94396
10050658,1532796834281,-4.33829,-6.44519,7.46033
10050659,1532796834300,-6.04775,-10.2663,4.76925
10050660,1532796834318,-17.674,-10.3669,-1.43173
10050661,1532796834340,-13.0771,-6.68461,-3.43807
10050662,1532796834362,-9.73004,-5.63116,-1.16358
10050663,1532796834383,-7.46033,-5.6551,2.02071
10050664,1532796834403,-6.80911,-4.77883,3.99832
10050665,1532796834422,-5.45878,-4.76925,5.6982
10050666,1532796834442,-4.04141,-4.02705,4.98473
10050667,1532796834462,-14.8728,-4.00789,-0.0526724
10050668,1532796834484,-4.74052,-4.36702,2.59053
10050669,1532796834503,-8.14507,-4.32393,2.90656
10050670,1532796834524,-9.26077,-3.36146,6.42604
10050671,1532796834545,-8.94953,-3.34709,6.92882
10050672,1532796834565,-8.96868,-3.9648,2.94487
10050673,1532796834585,-6.87136,-5.30076,2.84431
10050674,1532796834604,-8.62392,-4.64475,3.81636
10050675,1532796834625,-8.69574,-4.00789,4.44843
10050676,1532796834644,-7.7237,-4.1276,4.15633
