id,attr_time,attr_x,attr_y,attr_z
10057057,1532796833003,-1.08021,0.286565,-0.658354
10057058,1532796833021,-1.39021,0.110791,-0.779797
10057059,1532796833041,-1.53722,-0.100138,-0.854368
10057060,1532796833065,-1.34654,-0.55502,-0.807495
10057061,1532796833083,-0.850107,-1.10471,-0.758491
10057062,1532796833104,-0.243953,-1.38062,-0.59337
10057063,1532796833124,0.12464,-1.42643,-0.416531
10057064,1532796833144,0.0149142,-1.25066,-0.147011
10057065,1532796833166,-0.450621,-0.868217,0.177905
10057066,1532796833186,-0.818148,-0.50069,0.315328
10057067,1532796833204,-0.876739,-0.217321,0.271651
10057068,1532796833224,-0.666876,-0.0458078,0.172578
10057069,1532796833245,-0.371789,-0.0511342,0.0585913
10057070,1532796833267,-0.125705,-0.107595,-0.0862891
10057071,1532796833288,-0.0767014,-0.0756361,-0.141684
10057072,1532796833305,-0.0905502,0.153403,-0.26739
10057073,1532796833326,-0.0543301,0.291891,-0.328111
10057074,1532796833346,-0.0010653,0.470861,-0.387768
10057075,1532796833368,0.00639178,0.583783,-0.504951
10057076,1532796833389,-0.0426119,0.34196,-0.530518
10057077,1532796833407,-0.104399,-0.0010653,-0.369658
10057078,1532796833428,-0.183231,-0.35794,-0.0234365
10057079,1532796833446,-0.237561,-0.560346,0.272716
10057080,1532796833470,-0.256737,-0.669006,0.361136
10057081,1532796833490,-0.238627,-0.643439,0.30574
10057082,1532796833508,-0.189623,-0.553954,0.16299
10057083,1532796833529,-0.123574,-0.445294,-0.00639178
10057084,1532796833549,-0.0521995,-0.404813,-0.153403
10057085,1532796833571,-0.00213059,-0.477253,-0.209864
10057086,1532796833592,-0.00532648,-0.618938,-0.128901
10057087,1532796833611,-0.0862891,-0.654092,0.0692443
10057088,1532796833630,-0.226908,-0.596566,0.209864
10057089,1532796833651,-0.442098,-0.433576,0.295087
10057090,1532796833671,-0.758491,-0.235431,0.397356
10057091,1532796833693,-1.2986,0.057526,0.464469
10057092,1532796833712,-1.65441,0.223712,0.423988
10057093,1532796833731,-1.9154,0.250345,0.384572
10057094,1532796833752,-2.10503,0.249279,0.409074
10057095,1532796833774,-2.35218,0.0298283,0.530518
10057096,1532796833794,-2.55778,-0.310001,0.677529
10057097,1532796833812,-2.63022,-0.73399,0.813887
10057098,1532796833833,-2.58867,-1.11004,0.905502
10057099,1532796833853,-2.4896,-1.40832,0.852237
10057100,1532796833875,-2.28293,-1.5564,0.650896
10057101,1532796833896,-1.974,-1.73324,0.351548
10057102,1532796833913,-1.61606,-1.91967,0.0202406
10057103,1532796833934,-1.2741,-1.78544,-0.361136
10057104,1532796833956,-1.04932,-1.46052,-0.758491
10057105,1532796833977,-1.13028,-1.191,-1.25492
10057106,1532796833997,-1.75348,-1.21231,-1.74922
10057107,1532796834018,-2.49493,-1.67571,-1.72898
10057108,1532796834035,-3.10214,-2.47468,-1.12282
10057109,1532796834056,-3.67847,-3.16606,-0.164056
10057110,1532796834079,-3.99912,-3.48672,0.829866
10057111,1532796834098,-3.42173,-3.10001,1.2986
10057112,1532796834116,-2.03259,-2.22008,0.792581
10057113,1532796834137,-0.743577,-1.43495,0.105464
10057114,1532796834158,-0.354744,-0.957702,-0.117183
10057115,1532796834179,-0.494298,-0.537975,-0.101203
10057116,1532796834200,-0.642374,-0.010653,-0.0372854
10057117,1532796834218,-0.435706,0.350483,-0.0362201
10057118,1532796834238,0.515604,0.638113,0.00319589
10057119,1532796834259,2.06987,0.982204,-0.183231
10057120,1532796834281,3.56555,1.09299,-0.866086
10057121,1532796834299,4.78105,1.75774,-1.72045
10057122,1532796834318,4.96854,2.12314,-2.44699
10057123,1532796834340,3.53785,2.75592,-1.2741
10057124,1532796834362,1.68423,2.66218,-0.140619
10057125,1532796834382,0.365397,1.50207,0.235431
10057126,1532796834403,-0.200276,0.709488,0.329177
10057127,1532796834422,-0.118248,0.17897,0.320654
10057128,1532796834442,0.276977,-0.16086,-0.039416
10057129,1532796834462,0.482579,-0.36007,-0.629591
10057130,1532796834484,0.1811,0.525191,-0.125705
10057131,1532796834503,-0.319589,0.330242,-0.600827
10057132,1532796834524,-0.621068,0.252475,-0.449555
10057133,1532796834545,0.260998,-0.101203,0.336634
10057134,1532796834565,0.96942,-0.964094,0.794712
10057135,1532796834585,0.606154,-1.88025,1.24746
10057136,1532796834604,0.332373,-2.67922,0.963028
10057137,1532796834624,0.273781,-2.82836,0.782993
10057138,1532796834644,0.168317,-2.73462,0.696704
10057139,1532796834664,-0.0447425,-2.76658,0.512408
10057140,1532796834684,-0.139554,-2.5109,0.425053
10057141,1532796834705,-0.010653,-2.07839,0.486841
10057142,1532796834725,0.0703096,-1.72045,0.493233
10057143,1532796834747,0.0596566,-1.44561,0.282304
10057144,1532796834767,0.0553954,-1.3753,0.284434
10057145,1532796834788,0.0884196,-1.67678,0.565673
10057146,1532796834806,0.0841585,-1.90582,0.764883
10057147,1532796834827,-0.120379,-2.1796,0.75423
10057148,1532796834849,-0.389899,-2.17001,0.482579
10057149,1532796834866,-0.543301,-2.11355,0.455947
10057150,1532796834889,-0.59124,-2.14764,0.566738
10057151,1532796834907,-0.451686,-2.15297,0.566738
10057152,1532796834928,-0.141684,-2.23499,0.658354
10057153,1532796834948,0.0926808,-2.58441,0.775536
10057154,1532796834970,0.371789,-2.93063,0.771275
10057155,1532796834991,0.50069,-3.55277,0.684986
10057156,1532796835011,0.387768,-3.70297,0.71801
10057157,1532796835028,-0.729728,-1.452,0.0490037
10057158,1532796835048,-1.20379,-0.700965,-0.143815
10057159,1532796835070,-0.789385,0.0543301,-0.133162
10057160,1532796835093,0.313197,0.415466,0.068179
10057161,1532796835112,0.39416,0.590175,-0.0490037
10057162,1532796835130,-0.0884196,0.422923,0.039416
10057163,1532796835151,-0.196015,0.232235,0.176839
10057164,1532796835173,-0.00532648,-0.0383507,0.164056
10057165,1532796835194,0.107595,0.0798973,0.10866
10057166,1532796835211,0.0245018,0.161925,0.0809626
10057167,1532796835235,-0.0468731,-0.0117183,0.0585913
10057168,1532796835255,-0.0852238,-0.0905502,0.00426119
10057169,1532796835273,-0.00852238,-0.0628525,-0.0117183
10057170,1532796835296,0.0351548,0.0436772,0.028763
10057171,1532796835313,-0.00958767,0.0724402,0.0458078
10057172,1532796835332,0.0372854,0.0617872,-0.17897
10057173,1532796835354,0.10866,-0.216255,-0.327046
10057174,1532796835376,0.039416,-0.999248,-0.728663
10057175,1532796835397,-0.230104,-0.77234,-0.831997
10057176,1532796835414,-0.441033,-0.240757,-0.714814
10057177,1532796835435,-0.0543301,0.0223712,-0.640243
10057178,1532796835458,0.119313,0.319589,-0.562477
10057179,1532796835478,0.0245018,0.096942,-0.475122
10057180,1532796835498,-0.159795,0.0191753,-0.455947
10057181,1532796835516,-0.0745708,-0.503885,-0.345156
10057182,1532796835537,0.0117183,-0.438902,-0.239692
10057183,1532796835559,-0.0745708,-0.432511,-0.183231
10057184,1532796835579,-0.103334,-0.361136,-0.12677
10057185,1532796835600,-0.0553954,-0.242888,-0.0735055
10057186,1532796835618,-0.00639178,-0.191753,-0.0202406
10057187,1532796835638,0.0340895,-0.1811,0.0010653
10057188,1532796835660,0.0330242,-0.170448,0.0202406
10057189,1532796835677,0.00852238,-0.12677,0.125705
10057190,1532796835701,-0.0703096,-0.0532648,0.16086
10057191,1532796835722,-0.140619,-0.0649831,0.167252
10057192,1532796835742,-0.223712,-0.111856,0.188558
10057193,1532796835762,-0.230104,-0.0745708,0.221582
10057194,1532796835782,-0.21519,-0.100138,0.214125
10057195,1532796835802,-0.105464,-0.10866,0.110791
10057196,1532796835822,-0.00745708,-0.110791,0.0127836
10057197,1532796835842,0.0415466,-0.231169,-0.0617872
10057198,1532796835862,-0.00852238,-0.441033,-0.149142
10057199,1532796835883,-0.0948114,-0.71801,-0.220516
10057200,1532796835903,-0.143815,-0.867152,-0.234365
10057201,1532796835923,-0.199211,-0.889523,-0.200276
10057202,1532796835944,-0.234365,-0.982204,-0.177905
10057203,1532796835965,-0.183231,-1.00564,-0.206668
10057204,1532796835985,-0.174709,-0.914025,-0.264194
10057205,1532796836004,-0.186427,-0.971551,-0.310001
10057206,1532796836023,-0.275912,-1.02162,-0.36007
10057207,1532796836043,-0.300414,-1.09832,-0.403748
