id,attr_time,attr_x,attr_y,attr_z
5182725,1532766819004,-0.0415466,0.0159795,-0.0447425
5182726,1532766819024,0.0010653,-0.01811,-0.057526
5182727,1532766819044,-0.00426119,0.00639178,-0.0617872
5182728,1532766819063,0.0245018,0.010653,-0.068179
5182729,1532766819084,-0.0159795,0.0159795,-0.0767014
5182730,1532766819104,0.0404813,-0.0298283,-0.0671137
5182731,1532766819124,0.0276977,0.00745708,-0.0841585
5182732,1532766819144,0.00639178,0.0149142,-0.0830932
5182733,1532766819164,0.0127836,0.0319589,-0.068179
5182734,1532766819185,0.028763,0.0191753,-0.0543301
5182735,1532766819204,0.0010653,0.0735055,-0.0617872
5182736,1532766819224,0.0458078,0.0521995,-0.0436772
5182737,1532766819244,0.0340895,0.0191753,-0.0298283
5182738,1532766819265,0.0330242,-0.0138489,-0.0117183
5182739,1532766819283,-0.0543301,0.0340895,-0.0351548
5182740,1532766819304,-0.171513,0.121444,-0.109726
5182741,1532766819325,0.119313,-0.010653,-0.0511342
5182742,1532766819345,0.0735055,-0.0735055,-0.113987
5182743,1532766819365,0.110791,-0.0255671,-0.0937461
5182744,1532766819385,0.104399,0.00213059,-0.0543301
5182745,1532766819405,0.0905502,0.0149142,-0.0511342
5182746,1532766819425,0.105464,-0.0127836,-0.0490037
5182747,1532766819445,0.107595,0.00319589,-0.0617872
5182748,1532766819465,0.135293,-0.0202406,-0.0511342
5182749,1532766819485,0.123574,-0.0010653,-0.0351548
5182750,1532766819505,0.104399,-0.0213059,-0.00639178
5182751,1532766819525,0.0628525,-0.0159795,0.0276977
5182752,1532766819545,0.121444,-0.0117183,0.0340895
5182753,1532766819565,0.150207,0.0703096,0.0660484
5182754,1532766819585,0.0585913,0.0660484,0.0809626
5182755,1532766819605,-0.00426119,0.00852238,0.0767014
5182756,1532766819626,-0.0426119,0.01811,0.0756361
5182757,1532766819646,-0.0585913,0.0340895,0.0809626
5182758,1532766819666,-0.0553954,-0.00213059,0.0862891
5182759,1532766819686,-0.0873543,0.0383507,0.0905502
5182760,1532766819706,-0.0756361,0.0521995,0.112921
5182761,1532766819726,-0.0905502,0.0340895,0.143815
5182762,1532766819746,-0.0841585,0.0138489,0.125705
5182763,1532766819766,-0.0798973,0.0191753,0.10653
5182764,1532766819786,-0.111856,0.0479384,0.127836
5182765,1532766819806,-0.125705,0.0138489,0.107595
5182766,1532766819826,-0.131032,0.0,0.0830932
5182767,1532766819846,-0.0841585,0.0319589,0.0894849
5182768,1532766819866,-0.096942,0.00958767,0.0585913
5182769,1532766819886,-0.0830932,0.00319589,0.0639178
5182770,1532766819906,-0.0809626,0.00639178,0.0351548
5182771,1532766819927,-0.0628525,-0.0234365,0.0362201
5182772,1532766819947,-0.0447425,0.0010653,0.0362201
5182773,1532766819967,-0.0213059,0.00426119,0.0426119
5182774,1532766819984,-0.0234365,0.0117183,0.0628525
5182775,1532766820007,-0.0415466,0.0127836,0.0426119
5182776,1532766820027,-0.00426119,-0.00426119,0.0521995
5182777,1532766820047,0.0010653,-0.0127836,0.0479384
5182778,1532766820067,0.028763,0.0202406,0.0649831
5182779,1532766820087,0.0117183,0.0010653,0.0660484
5182780,1532766820107,0.0521995,0.01811,0.078832
5182781,1532766820127,0.0671137,-0.0234365,0.0532648
5182782,1532766820145,0.0213059,0.0298283,0.0671137
5182783,1532766820167,-0.00319589,0.0383507,0.0362201
5182784,1532766820187,-0.0671137,0.0564607,0.0213059
5182785,1532766820207,0.0010653,-0.0213059,0.0234365
