id,attr_time,attr_x,attr_y,attr_z
4989349,1532762941011,0.01811,0.0362201,-0.0159795
4989350,1532762941031,0.010653,0.0255671,-0.00852238
4989351,1532762941051,0.00639178,0.039416,-0.00745708
4989352,1532762941071,0.00639178,0.0298283,-0.00958767
4989353,1532762941091,0.00532648,0.0213059,-0.010653
4989354,1532762941111,0.0149142,0.01811,-0.00852238
4989355,1532762941131,0.00319589,0.0223712,-0.0202406
4989356,1532762941151,0.01811,0.01811,-0.01811
4989357,1532762941172,0.0117183,0.00532648,-0.01811
4989358,1532762941192,0.01811,0.00532648,-0.0245018
4989359,1532762941211,0.00852238,-0.00532648,-0.0351548
4989360,1532762941231,0.00213059,-0.0010653,-0.0426119
4989361,1532762941251,0.00852238,-0.00426119,-0.0426119
4989362,1532762941271,0.0298283,-0.00852238,-0.0308936
4989363,1532762941291,0.0436772,-0.00213059,-0.0138489
4989364,1532762941309,0.0532648,0.0117183,0.00745708
4989365,1532762941330,0.0607219,0.0213059,0.0213059
4989366,1532762941350,0.0735055,0.0159795,0.0383507
4989367,1532762941373,0.078832,0.00319589,0.0511342
4989368,1532762941392,0.0735055,-0.010653,0.0564607
4989369,1532762941411,0.0447425,-0.00319589,0.0564607
4989370,1532762941432,0.0426119,-0.00639178,0.0490037
4989371,1532762941452,0.0383507,-0.0138489,0.0447425
4989372,1532762941472,0.0266324,-0.00852238,0.0308936
4989373,1532762941492,0.0138489,0.00745708,0.0223712
4989374,1532762941513,-0.050069,-0.00319589,0.0202406
4989375,1532762941531,-0.0649831,0.0117183,0.00426119
4989376,1532762941550,-0.078832,0.00319589,-0.0170448
4989377,1532762941568,-0.0735055,0.00426119,-0.0340895
4989378,1532762941593,-0.0735055,0.00852238,-0.0511342
4989379,1532762941613,-0.0713749,0.00958767,-0.0553954
4989380,1532762941633,-0.0596566,0.00319589,-0.068179
4989381,1532762941653,-0.0490037,0.0010653,-0.0820279
4989382,1532762941673,-0.0426119,0.00958767,-0.0937461
4989383,1532762941693,-0.0330242,0.0117183,-0.0873543
4989384,1532762941713,-0.0117183,-0.0010653,-0.0724402
4989385,1532762941732,-0.0010653,0.00319589,-0.0596566
4989386,1532762941753,0.00958767,0.00639178,-0.0468731
4989387,1532762941773,0.00639178,0.0117183,-0.0479384
4989388,1532762941794,0.0149142,0.0010653,-0.0532648
4989389,1532762941812,0.0138489,-0.00852238,-0.0596566
4989390,1532762941832,0.0223712,-0.00745708,-0.0596566
4989391,1532762941852,0.0340895,-0.00319589,-0.0532648
4989392,1532762941872,0.0372854,0.00319589,-0.0468731
4989393,1532762941892,0.0383507,0.00532648,-0.0511342
4989394,1532762941912,0.0308936,0.00745708,-0.0617872
4989395,1532762941933,0.0159795,0.00426119,-0.0745708
4989396,1532762941953,0.00745708,0.0010653,-0.0905502
4989397,1532762941973,-0.00213059,0.0,-0.0958767
4989398,1532762941993,-0.00958767,0.00532648,-0.0958767
4989399,1532762942013,-0.0117183,0.0117183,-0.0990726
4989400,1532762942033,-0.028763,0.0266324,-0.104399
4989401,1532762942053,-0.028763,0.0159795,-0.10653
4989402,1532762942073,-0.0255671,0.0117183,-0.105464
