id,attr_time,attr_x,attr_y,attr_z
133691,1532076519015,-0.0798973,0.0319589,-0.0213059
133692,1532076519032,0.196015,0.297218,0.16086
133693,1532076519051,0.109726,-0.211994,0.0521995
133694,1532076519073,-0.0724402,0.276977,0.0511342
133695,1532076519093,0.104399,-0.159795,0.00532648
133696,1532076519116,0.0479384,-0.01811,-0.0127836
133697,1532076519133,-0.148076,-0.0521995,-0.0404813
133698,1532076519155,0.0,0.0127836,-0.0223712
133699,1532076519176,0.00745708,0.0245018,-0.00213059
133700,1532076519197,0.010653,-0.068179,-0.0223712
133701,1532076519216,-0.0372854,-0.14275,-0.120379
133702,1532076519237,0.101203,0.0553954,0.00745708
133703,1532076519257,0.100138,-0.187492,-0.0223712
133704,1532076519278,-0.118248,0.0617872,-0.0223712
133705,1532076519298,-0.0468731,-0.0468731,-0.01811
133706,1532076519319,0.0628525,-0.247149,-0.100138
133707,1532076519338,0.0426119,0.111856,0.0191753
133708,1532076519358,0.0436772,-0.10866,-0.0308936
133709,1532076519380,-0.0830932,0.0149142,-0.01811
133710,1532076519400,0.0149142,-0.128901,-0.00213059
133711,1532076519420,0.0213059,-0.135293,-0.0873543
133712,1532076519441,0.115052,-0.039416,0.0628525
133713,1532076519459,-0.039416,-0.10653,-0.0415466
133714,1532076519481,-0.0330242,-0.0372854,-0.00319589
133715,1532076519501,0.0255671,-0.0841585,-0.00532648
133716,1532076519522,0.0553954,-0.12464,0.0010653
133717,1532076519540,-0.0202406,-0.0894849,-0.00426119
133718,1532076519560,0.00745708,-0.0798973,0.0
133719,1532076519582,0.0213059,-0.0873543,0.00213059
133720,1532076519603,-0.0671137,0.0713749,0.0404813
133721,1532076519623,0.0607219,-0.0436772,-0.0213059
133722,1532076519643,0.25141,-0.0639178,0.164056
133723,1532076519661,-0.127836,-0.0117183,-0.039416
133724,1532076519684,0.0255671,-0.161925,0.0234365
133725,1532076519704,-0.118248,0.235431,0.0362201
133726,1532076519724,0.0745708,-0.102268,-0.0671137
133727,1532076519744,0.201341,-0.143815,0.113987
133728,1532076519765,-0.175774,0.0436772,-0.0777667
133729,1532076519785,0.0511342,-0.0990726,0.010653
133730,1532076519805,-0.0553954,0.140619,0.01811
133731,1532076519825,-0.0830932,-0.0830932,-0.0159795
133732,1532076519844,0.0905502,0.397356,0.100138
133733,1532076519866,0.156599,-0.17897,0.0617872
133734,1532076519887,-0.0767014,0.0543301,0.0159795
133735,1532076519907,-0.129966,0.0916155,0.0532648
133736,1532076519926,0.0362201,0.0511342,0.0340895
133737,1532076519946,0.0532648,-0.028763,0.00852238
133738,1532076519967,-0.0937461,0.12677,0.0234365
133739,1532076519988,-0.00319589,0.0,-0.0234365
133740,1532076520008,-0.0596566,0.131032,-0.0841585
133741,1532076520025,0.217321,0.10866,0.120379
133742,1532076520045,-0.0830932,-0.102268,-0.00852238
133743,1532076520067,-0.141684,0.123574,0.0372854
133744,1532076520089,-0.0138489,0.0905502,0.0149142
133745,1532076520111,0.0490037,-0.173643,-0.00426119
133746,1532076520131,-0.147011,0.399486,-0.0383507
133747,1532076520148,0.0617872,-0.147011,-0.00745708
133748,1532076520168,-0.122509,0.408009,0.0149142
133749,1532076520191,0.0862891,-0.0340895,-0.0926808
133750,1532076520212,0.0852238,-0.166186,-0.0585913
133751,1532076520231,-0.258867,0.324916,-0.0639178
133752,1532076520250,0.206668,-0.239692,0.0713749
133753,1532076520273,0.0479384,0.153403,0.0841585
133754,1532076520293,-0.0553954,0.122509,0.0958767
133755,1532076520313,0.0692443,-0.10653,0.0692443
133756,1532076520331,-0.0490037,0.128901,0.00426119
133757,1532076520349,-0.0319589,-0.00319589,0.0149142
133758,1532076520370,0.0426119,-0.0170448,-0.0362201
133759,1532076520395,-0.0490037,-0.254606,-0.00532648
133760,1532076520415,-0.325981,0.203472,0.0
133761,1532076520432,-0.0468731,-0.150207,0.00958767
133762,1532076520451,0.0447425,-0.0266324,0.0735055
133763,1532076520471,0.0521995,-0.266324,-0.00852238
133764,1532076520496,-0.189623,-0.0798973,-0.0564607
133765,1532076520517,-0.0362201,0.218386,0.00319589
133766,1532076520533,0.180035,-0.331307,0.00319589
133767,1532076520554,-0.10866,0.151272,0.0330242
133768,1532076520578,0.0362201,-0.171513,-0.0149142
133769,1532076520598,-0.0159795,0.0308936,-0.120379
133770,1532076520618,0.225843,-0.173643,0.039416
133771,1532076520633,-0.0703096,0.0,-0.0372854
133772,1532076520657,0.00532648,0.0639178,0.0266324
133773,1532076520679,0.0926808,0.00213059,0.00852238
133774,1532076520698,0.0852238,-0.12464,0.0010653
133775,1532076520719,-0.0223712,0.0223712,-0.0191753
133776,1532076520736,0.0,-0.0372854,-0.0330242
133777,1532076520756,0.0234365,0.00852238,-0.0149142
133778,1532076520778,0.0245018,-0.039416,0.0383507
133779,1532076520800,0.00745708,0.0138489,0.00745708
133780,1532076520820,-0.0223712,-0.257802,0.133162
133781,1532076520837,-0.234365,0.12464,-0.0138489
133782,1532076520858,-0.0937461,-0.0245018,0.0170448
133783,1532076520877,-0.00213059,-0.0553954,0.0298283
133784,1532076520901,-0.0532648,0.0170448,-0.0223712
133785,1532076520921,-0.0362201,0.0276977,-0.141684
133786,1532076520941,0.131032,-0.256737,0.0117183
133787,1532076520961,-0.281238,0.271651,-0.0905502
133788,1532076520982,-0.0255671,-0.0372854,0.0276977
133789,1532076521003,0.0372854,0.174709,0.0010653
133790,1532076521020,0.00958767,0.0404813,0.0255671
133791,1532076521040,0.121444,0.207733,0.156599
133792,1532076521059,-0.01811,-0.078832,0.0127836
133793,1532076521080,-0.0117183,0.336634,0.0671137
133794,1532076521103,0.101203,0.0191753,0.039416
133795,1532076521123,0.00852238,0.30574,0.0404813
133796,1532076521141,-0.0010653,0.134227,0.0596566
133797,1532076521161,0.0159795,0.213059,0.00639178
133798,1532076521184,-0.0426119,0.170448,-0.0692443
133799,1532076521205,-0.0010653,0.0820279,-0.0543301
133800,1532076521224,-0.0607219,0.248214,-0.138489
133801,1532076521244,0.101203,-0.258867,0.00958767
133802,1532076521262,-0.281238,0.291891,-0.0724402
133803,1532076521286,-0.0543301,-0.0298283,0.0213059
133804,1532076521306,0.0607219,0.268455,0.0756361
133805,1532076521325,0.12677,-0.147011,0.00639178
133806,1532076521343,-0.125705,0.218386,0.133162
133807,1532076521366,-0.151272,0.105464,-0.010653
133808,1532076521387,0.0521995,-0.0436772,0.0490037
133809,1532076521407,-0.0767014,0.0564607,0.0010653
133810,1532076521426,-0.0873543,0.0245018,-0.0266324
133811,1532076521447,-0.0319589,-0.102268,-0.120379
133812,1532076521465,-0.039416,0.240757,-0.00639178
133813,1532076521488,0.0245018,-0.153403,-0.039416
133814,1532076521509,-0.0255671,0.0884196,-0.0543301
133815,1532076521530,-0.01811,0.0202406,-0.0553954
133816,1532076521546,0.111856,-0.0841585,-0.0916155
133817,1532076521570,-0.039416,0.00852238,-0.039416
133818,1532076521590,-0.0735055,0.117183,-0.0234365
133819,1532076521610,0.12464,-0.188558,0.028763
133820,1532076521630,-0.0490037,0.25141,0.0692443
133821,1532076521649,0.147011,-0.301479,0.0372854
133822,1532076521671,0.0479384,0.0223712,0.206668
133823,1532076521691,-0.204537,-0.109726,0.0383507
133824,1532076521713,0.0202406,-0.131032,0.0639178
133825,1532076521731,-0.0308936,-0.0490037,0.00213059
133826,1532076521752,-0.0191753,-0.257802,-0.0308936
133827,1532076521772,-0.0830932,-0.0458078,-0.0340895
133828,1532076521793,-0.00426119,-0.173643,-0.0138489
133829,1532076521813,0.0202406,-0.0980073,0.00639178
133830,1532076521831,-0.0479384,-0.0809626,0.0298283
133831,1532076521851,-0.0191753,-0.158729,0.0245018
133832,1532076521871,0.0138489,-0.0905502,-0.0372854
133833,1532076521894,0.155533,-0.32172,0.115052
133834,1532076521914,-0.188558,0.0447425,-0.050069
133835,1532076521931,-0.0340895,-0.170448,-0.01811
133836,1532076521954,0.0415466,-0.057526,-0.010653
133837,1532076521972,-0.0213059,-0.137423,-0.00213059
133838,1532076521995,0.00958767,-0.103334,-0.102268
133839,1532076522013,0.225843,-0.200276,0.0756361
133840,1532076522032,-0.0585913,0.010653,-0.0564607
133841,1532076522053,0.0266324,-0.0138489,0.0255671
133842,1532076522077,0.139554,-0.186427,-0.0468731
133843,1532076522097,-0.0362201,0.0383507,-0.0521995
133844,1532076522117,-0.0958767,-0.138489,-0.125705
133845,1532076522134,0.0745708,0.00532648,0.0117183
133846,1532076522156,0.0735055,-0.183231,-0.0415466
133847,1532076522177,-0.0447425,-0.0298283,0.01811
133848,1532076522198,-0.0553954,-0.0330242,-0.00958767
133849,1532076522219,0.0958767,-0.218386,-0.0010653
133850,1532076522239,-0.0383507,-0.0127836,-0.0276977
133851,1532076522258,-0.0202406,-0.129966,-0.00426119
133852,1532076522279,0.0255671,-0.109726,-0.00319589
133853,1532076522300,-0.0202406,-0.0532648,0.01811
133854,1532076522320,0.0383507,-0.207733,0.00958767
133855,1532076522339,-0.0649831,0.0468731,-0.0340895
133856,1532076522361,0.125705,-0.349417,0.105464
133857,1532076522381,-0.191753,0.155533,-0.028763
133858,1532076522401,0.0276977,-0.192819,0.0490037
133859,1532076522421,0.0,0.0362201,0.0479384
133860,1532076522442,0.0543301,-0.279108,0.0479384
133861,1532076522461,-0.0351548,-0.0308936,-0.0479384
133862,1532076522482,0.103334,-0.264194,0.096942
133863,1532076522501,-0.151272,0.096942,-0.0458078
133864,1532076522523,0.0266324,-0.184296,0.0170448
133865,1532076522542,-0.0543301,0.145946,0.0255671
133866,1532076522563,-0.00213059,-0.16086,0.0330242
133867,1532076522584,-0.0213059,-0.0245018,-0.0415466
133868,1532076522604,0.204537,-0.254606,0.0767014
133869,1532076522623,-0.0745708,-0.00852238,-0.0266324
133870,1532076522651,-0.103334,0.119313,0.0223712
