id,attr_time,attr_x,attr_y,attr_z
10650,1531729496015,0.227974,-0.438902,0.00852238
10651,1531729496036,0.0916155,-0.117183,0.057526
10652,1531729496056,0.0745708,-0.231169,-0.105464
10653,1531729496075,-0.0490037,-0.112921,-0.231169
10654,1531729496097,-0.1811,-0.314263,0.105464
10655,1531729496115,-0.220516,0.253541,0.0234365
10656,1531729496135,0.16299,0.288695,0.00639178
10657,1531729496154,0.119313,-0.132097,-0.0564607
10658,1531729496174,0.10866,-0.0958767,-0.0245018
10659,1531729496195,0.284434,-0.14275,-0.0149142
10660,1531729496218,-0.263128,-0.105464,0.156599
10661,1531729496237,-0.304675,0.385638,0.294022
10662,1531729496258,-0.274847,0.132097,0.0671137
10663,1531729496279,0.312132,0.401617,-0.0372854
10664,1531729496298,0.755296,-0.442098,-0.01811
10665,1531729496317,0.129966,-0.427184,0.495363
10666,1531729496340,-0.169382,-0.964094,0.829866
10667,1531729496359,0.296153,-0.177905,0.168317
10668,1531729496378,0.173643,0.0735055,0.00426119
10669,1531729496401,-0.028763,-0.0010653,-0.0852238
10670,1531729496421,-0.206668,-0.235431,-0.0266324
10671,1531729496440,-0.259932,0.0745708,0.570999
10672,1531729496460,-0.262063,0.221582,0.0532648
10673,1531729496480,-0.302544,0.300414,0.113987
10674,1531729496499,0.249279,-0.119313,-0.0010653
10675,1531729496522,0.39416,0.148076,0.0202406
10676,1531729496541,0.222647,-0.275912,-0.187492
10677,1531729496561,-0.190688,-0.139554,0.0884196
10678,1531729496583,-0.118248,0.491102,-0.0820279
10679,1531729496604,-0.180035,0.48471,0.220516
10680,1531729496624,-0.34196,-0.199211,0.271651
10681,1531729496644,-0.00532648,0.256737,0.00426119
10682,1531729496666,0.333438,0.199211,0.0170448
10683,1531729496683,0.107595,-0.0010653,-0.00852238
10684,1531729496705,0.0202406,-0.0330242,-0.0862891
10685,1531729496725,0.068179,0.117183,-0.0671137
10686,1531729496745,0.0362201,0.331307,-0.157664
10687,1531729496767,0.00958767,-0.385638,0.153403
10688,1531729496784,0.00319589,0.078832,-0.0617872
10689,1531729496806,0.418662,0.102268,-0.0340895
10690,1531729496827,0.204537,-0.433576,0.0202406
10691,1531729496847,0.0894849,-0.372854,-0.306806
10692,1531729496870,-0.184296,-0.168317,-0.337699
10693,1531729496887,-0.331307,-0.0521995,-0.118248
10694,1531729496905,-0.167252,0.184296,-0.246084
10695,1531729496927,-0.0607219,-0.170448,0.0490037
10696,1531729496948,-0.229039,0.176839,0.0127836
10697,1531729496970,-0.0298283,0.419727,0.259932
10698,1531729496988,0.316393,0.122509,0.0585913
10699,1531729497009,0.550759,-0.242888,-0.208798
10700,1531729497029,0.346222,-0.758491,-0.0756361
10701,1531729497049,-0.139554,-0.0564607,-0.176839
10702,1531729497070,-0.168317,-0.210929,-0.71801
10703,1531729497090,-0.601893,-0.288695,-0.382442
10704,1531729497116,-0.450621,0.519865,-0.0692443
10705,1531729497127,-0.133162,0.158729,-0.641309
10706,1531729497150,0.252475,-0.157664,-0.439968
10707,1531729497169,0.149142,-0.00852238,-0.186427
10708,1531729497189,-0.01811,-0.318524,-0.0383507
