id,attr_time,attr_x,attr_y,attr_z
1476245,1531921245001,1.96325,9.80665,-1.01514
1476246,1531921245021,2.00155,9.63906,-0.837971
1476247,1531921245040,1.92015,9.67258,-0.531513
1476248,1531921245060,2.07338,9.89284,-0.694318
1476249,1531921245081,2.17872,9.73004,-0.80924
1476250,1531921245101,2.40857,9.4571,-0.579397
1476251,1531921245121,1.93451,9.72525,-0.727837
1476252,1531921245139,2.14042,9.69173,-0.876278
1476253,1531921245160,2.20267,9.69652,-1.06303
1476254,1531921245180,2.42772,9.62469,-1.14443
1476255,1531921245200,2.67193,9.57681,-1.36948
1476256,1531921245220,2.65278,9.54808,-1.86748
1476257,1531921245237,2.31759,9.50019,-1.83875
1476258,1531921245257,2.22182,9.61511,-1.65679
1476259,1531921245277,2.20745,9.88805,-1.46046
1476260,1531921245298,2.07817,9.62469,-1.88663
1476261,1531921245319,1.99198,9.73961,-1.30723
1476262,1531921245335,1.80523,9.64863,-1.31202
1476263,1531921245358,1.71904,10.0317,-0.876278
1476264,1531921245378,1.74777,9.83059,-0.727837
1476265,1531921245399,1.67115,9.85932,-0.383072
1476266,1531921245419,1.75256,10.1562,-0.268151
1476267,1531921245439,1.95846,10.07,-0.11971
1476268,1531921245457,2.05901,9.90721,-0.143652
1476269,1531921245477,1.99198,9.74919,-0.0957681
1476270,1531921245498,1.89142,9.87369,0.138864
1476271,1531921245518,1.80523,9.95988,0.047884
1476272,1531921245538,1.85311,9.75398,-0.277727
1476273,1531921245555,2.23618,9.70609,0.0047884
1476274,1531921245574,2.45645,9.7875,-0.866701
1476275,1531921245595,2.16915,9.93115,-2.37026
1476276,1531921245617,1.84354,9.97903,-1.85311
1476277,1531921245638,1.63763,9.80665,0.0622492
1476278,1531921245655,2.04944,9.69652,0.545878
1476279,1531921245677,2.34632,9.59596,-0.981623
1476280,1531921245697,2.49476,9.63427,-1.47962
1476281,1531921245727,2.24097,9.7444,-0.59855
1476282,1531921245733,1.901,9.65342,-0.201113
1476283,1531921245754,1.71904,9.60554,-0.814029
1476284,1531921245772,1.88663,9.73482,-1.35512
1476285,1531921245795,2.07338,9.61511,-0.833182
1476286,1531921245815,1.94409,9.26556,-0.794875
1476287,1531921245835,2.05901,9.54808,-0.656011
1476288,1531921245853,2.13563,9.69173,-0.627281
1476289,1531921245875,2.06859,9.68215,-0.885855
1476290,1531921245895,2.05901,9.58638,-0.986411
1476291,1531921245915,1.94888,9.8689,-0.751779
1476292,1531921245937,2.01113,9.93115,-0.493206
1476293,1531921245952,2.08774,9.97903,-0.665588
1476294,1531921245974,2.1452,9.63427,-0.995988
1476295,1531921245994,2.06859,9.76356,-0.876278
1476296,1531921246014,2.04944,9.73004,-0.723049
1476297,1531921246036,1.97761,9.80665,-0.699107
1476298,1531921246052,2.02071,9.92157,-0.881066
1476299,1531921246074,1.95367,9.39964,-1.09176
1476300,1531921246094,2.25055,10.0413,-0.608127
1476301,1531921246113,2.06859,9.40442,-1.02472
1476302,1531921246134,2.07817,9.73004,-0.881066
1476303,1531921246152,2.03028,9.97903,-0.550666
1476304,1531921246173,1.93451,9.52413,-0.967257
1476305,1531921246193,1.96325,9.55765,-1.41258
1476306,1531921246213,2.01592,10.228,-0.919373
1476307,1531921246231,1.9393,9.69652,-1.35991
1476308,1531921246250,1.92015,9.62948,-0.857124
1476309,1531921246271,2.12605,10.0078,-0.876278
1476310,1531921246292,2.12126,9.85932,-0.909797
1476311,1531921246312,2.04944,9.67258,-0.981623
1476312,1531921246330,2.03986,9.7444,-1.05345
1476313,1531921246350,2.01592,9.84975,-0.967257
1476314,1531921246371,1.86748,9.50977,-1.16358
1476315,1531921246392,1.95367,9.55287,-0.914585
1476316,1531921246411,1.99676,9.60554,-1.25935
1476317,1531921246429,1.9824,9.71088,-1.10612
1476318,1531921246449,1.90578,9.32302,-1.43173
1476319,1531921246467,2.02549,10.0173,-0.732626
1476320,1531921246487,1.79086,9.55765,-1.22583
1476321,1531921246507,1.78607,9.43315,-1.02951
1476322,1531921246527,2.03507,9.93115,-0.9912
1476323,1531921246547,1.99198,9.73961,-0.9912
1476324,1531921246568,2.20267,10.0365,-1.06781
1476325,1531921246588,2.07817,9.7013,-0.790087
1476326,1531921246610,2.27449,9.96946,-0.78051
1476327,1531921246628,2.02549,9.77313,-0.986411
1476328,1531921246649,1.76213,9.73004,-1.0726
1476329,1531921246671,1.8579,9.85453,-0.713472
1476330,1531921246689,1.96803,9.76356,-0.9912
1476331,1531921246709,1.99198,9.64863,-1.17795
1476332,1531921246727,1.901,9.7013,-0.847547
1476333,1531921246746,1.9393,9.62469,-0.837971
1476334,1531921246767,2.08774,9.55287,-0.814029
1476335,1531921246789,2.20745,9.80186,-1.13964
1476336,1531921246809,2.00155,9.60075,-1.22583
1476337,1531921246828,1.9824,9.77792,-0.90022
1476338,1531921246848,1.91536,9.71567,-0.818817
1476339,1531921246867,1.99198,9.7444,-0.871489
1476340,1531921246888,2.08296,9.97424,-1.1157
1476341,1531921246908,1.92973,9.71567,-1.0343
1476342,1531921246927,2.02071,9.78271,-0.622492
1476343,1531921246946,2.11647,9.82101,-0.746991
1476344,1531921246968,2.1452,9.83538,-1.15879
1476345,1531921246988,2.05901,9.89284,-0.943315
1476346,1531921247008,1.84354,9.75398,-0.402226
1476347,1531921247027,1.88663,9.81623,-0.411803
1476348,1531921247045,2.0638,9.76834,-1.17795
1476349,1531921247065,1.94888,9.71088,-1.12527
1476350,1531921247087,1.76692,9.54808,-0.536301
1476351,1531921247107,1.87705,9.76356,-0.502782
1476352,1531921247125,2.03986,9.73961,-1.28808
1476353,1531921247145,2.02549,9.65342,-1.21147
1476354,1531921247165,1.99198,9.64863,-0.723049
1476355,1531921247186,1.99198,9.72046,-0.694318
1476356,1531921247206,1.80044,9.68694,-1.08218
1476357,1531921247226,1.97282,9.80665,-1.09176
1476358,1531921247244,1.92973,9.68215,-0.972046
1476359,1531921247264,1.9393,9.67736,-0.847547
1476360,1531921247285,1.96325,9.75398,-0.967257
1476361,1531921247303,1.96325,9.84017,-0.976834
1476362,1531921247325,1.96803,9.7875,-1.03908
1476363,1531921247343,1.99198,9.71088,-0.713472
1476364,1531921247365,2.30801,9.65342,-0.608127
1476365,1531921247385,1.71425,9.20331,-1.06781
1476366,1531921247405,3.91213,8.52815,-1.30245
1476367,1531921247423,1.58017,8.98783,-3.08852
1476368,1531921247443,1.08218,9.37569,-0.842759
1476369,1531921247463,1.58975,8.82503,0.593762
1476370,1531921247484,2.28407,9.18416,-1.0343
1476371,1531921247504,2.64799,9.29429,-2.36547
1476372,1531921247524,1.62806,9.56244,-1.16358
1476373,1531921247542,1.50835,9.43315,-0.746991
1476374,1531921247562,1.29287,9.73004,-0.909797
1476375,1531921247584,1.91536,9.72525,-1.83875
1476376,1531921247603,2.00634,9.78271,-1.43173
1476377,1531921247623,2.26013,9.77313,-0.627281
1476378,1531921247642,2.08774,9.57681,-1.04866
1476379,1531921247663,1.89621,9.46667,-1.36469
1476380,1531921247683,1.76692,9.75877,-1.05824
1476381,1531921247703,1.63763,9.97903,-1.00556
1476382,1531921247725,1.88184,9.59117,-1.06303
1476383,1531921247739,2.11169,9.75398,-0.924162
1476384,1531921247759,2.0638,9.65342,-1.01035
1476385,1531921247782,2.08296,9.5816,-1.1971
1476386,1531921247803,1.83875,9.70609,-0.981623
1476387,1531921247823,1.8148,9.62469,-0.90022
1476388,1531921247840,1.75256,9.61033,-1.19231
1476389,1531921247861,1.90578,9.70609,-1.10133
1476390,1531921247880,1.96325,9.60554,-1.0343
1476391,1531921247902,1.99676,9.76356,-0.914585
1476392,1531921247922,1.98719,9.80186,-1.01993
1476393,1531921247940,1.87227,9.63427,-1.20189
1476394,1531921247959,1.78129,9.64385,-0.895431
1476395,1531921247981,1.86748,9.78271,-0.814029
1476396,1531921248001,1.8579,9.69173,-1.05824
1476397,1531921248021,1.87705,9.8689,-1.00078
1476398,1531921248038,1.88184,9.85453,-0.742202
1476399,1531921248060,1.89621,9.73482,-0.746991
1476400,1531921248082,2.02549,9.64385,-1.01514
1476401,1531921248101,1.7765,9.59117,-0.952892
1476402,1531921248121,1.78129,9.57681,-0.699107
1476403,1531921248140,1.88184,9.71088,-0.751779
1476404,1531921248161,2.05901,9.64863,-1.04866
1476405,1531921248179,2.21703,9.82101,-0.871489
1476406,1531921248200,2.26491,9.68694,-0.363919
1476407,1531921248220,2.37505,9.50019,-0.196325
1476408,1531921248240,1.37906,10.0173,-0.636858
1476409,1531921248260,1.10612,9.95509,-0.790087
1476410,1531921248280,1.31681,9.89284,-0.665588
1476411,1531921248299,1.58496,9.89763,-0.881066
1476412,1531921248319,2.02071,9.88326,-0.584185
1476413,1531921248340,2.59053,9.76834,-0.459687
1476414,1531921248357,2.41814,9.69652,-1.03908
1476415,1531921248376,1.76213,9.51456,-1.43652
1476416,1531921248399,1.65679,9.90242,-0.761356
1476417,1531921248419,1.403,9.68694,-0.785298
1476418,1531921248439,1.53708,9.62469,-1.09654
1476419,1531921248457,1.74777,9.51456,-1.47962
1476420,1531921248477,2.03028,9.40442,-1.16358
1476421,1531921248498,2.1452,9.69652,-0.751779
1476422,1531921248518,1.99676,9.63906,-1.19231
1476423,1531921248539,1.78607,9.72046,-1.33118
1476424,1531921248554,1.65679,9.86411,-1.0343
1476425,1531921248574,1.7334,9.87848,-0.895431
1476426,1531921248595,1.88663,9.85932,-0.90022
1476427,1531921248618,1.97282,9.72525,-1.01993
1476428,1531921248634,2.06859,9.77792,-1.09176
1476429,1531921248655,1.95367,9.85932,-0.92895
1476430,1531921248675,1.76213,9.79707,-0.818817
1476431,1531921248695,1.68073,9.7013,-1.04866
1476432,1531921248717,1.91536,9.76356,-1.22104
1476433,1531921248733,1.89621,9.68215,-1.01993
1476434,1531921248752,1.901,9.71088,-0.713472
1476435,1531921248772,1.9393,9.57202,-1.22583
1476436,1531921248793,1.79086,9.73961,-1.20189
1476437,1531921248815,1.83875,9.73004,-0.972046
1476438,1531921248837,1.81959,9.62948,-0.938527
1476439,1531921248853,1.81002,9.6199,-0.948104
1476440,1531921248875,1.91536,9.95509,-0.9912
1476441,1531921248895,1.78129,9.75398,-0.9912
1476442,1531921248915,1.92494,9.86411,-0.770933
1476443,1531921248932,1.8579,9.84975,-0.842759
1476444,1531921248952,1.8579,9.84975,-1.05824
1476445,1531921248971,1.94409,9.86411,-0.871489
1476446,1531921248995,1.85311,9.65342,-0.699107
1476447,1531921249016,1.96325,9.78271,-0.909797
1476448,1531921249031,1.86269,10.0126,-0.852336
1476449,1531921249051,1.82917,9.88805,-0.78051
1476450,1531921249073,1.91536,9.68694,-0.708684
1476451,1531921249095,1.75256,9.57681,-1.13485
1476452,1531921249112,1.81959,9.7013,-1.04866
1476453,1531921249131,1.78129,9.62948,-0.976834
1476454,1531921249151,1.83396,9.54329,-0.876278
1476455,1531921249173,1.87227,9.81623,-0.881066
1476456,1531921249193,1.76213,9.64385,-1.01993
1476457,1531921249213,1.95846,9.73004,-0.861913
1476458,1531921249230,1.76213,9.64863,-0.885855
1476459,1531921249252,1.80523,9.79707,-0.914585
1476460,1531921249271,1.75256,9.75877,-1.04387
1476461,1531921249292,1.74298,9.76834,-1.04387
1476462,1531921249312,1.9393,9.81144,-0.833182
1476463,1531921249330,1.95846,9.90242,-1.00556
1476464,1531921249350,1.80523,9.74919,-0.995988
1476465,1531921249371,1.76692,9.69173,-0.995988
1476466,1531921249392,1.70467,9.76834,-1.05824
1476467,1531921249411,1.75734,9.81623,-0.766145
1476468,1531921249429,1.77171,9.72525,-0.852336
1476469,1531921249451,1.88184,9.64863,-0.842759
1476470,1531921249471,1.8579,9.79228,-0.78051
1476471,1531921249491,1.74298,9.64863,-0.694318
1476472,1531921249511,1.83875,9.73004,-1.00556
1476473,1531921249529,1.69031,9.67736,-1.06303
1476474,1531921249548,1.7334,9.76834,-0.842759
1476475,1531921249575,1.74777,9.81144,-0.924162
1476476,1531921249590,1.81959,9.87848,-1.00556
1476477,1531921249607,1.81959,9.86411,-1.03908
1476478,1531921249628,1.84832,9.69173,-0.794875
1476479,1531921249650,1.67594,9.54329,-1.00556
1476480,1531921249671,1.90578,10.1035,-0.909797
1476481,1531921249690,1.76692,9.7444,-1.1971
1476482,1531921249710,1.78129,9.62948,-1.13964
1476483,1531921249730,1.82438,9.74919,-0.995988
1476484,1531921249745,1.652,9.7875,-1.02951
1476485,1531921249766,1.72383,9.68215,-1.06303
1476486,1531921249787,1.79086,9.72525,-1.15879
1476487,1531921249809,1.67115,9.7013,-1.01514
