id,attr_time,attr_x,attr_y,attr_z
7470,1531729496005,-2.15478,9.70609,-0.746991
7471,1531729496020,-2.10211,9.76356,-0.78051
7472,1531729496041,-2.16436,9.79707,-0.981623
7473,1531729496062,-2.20745,9.69652,-0.828394
7474,1531729496082,-2.19309,9.73961,-0.905008
7475,1531729496103,-2.23618,9.72046,-1.04387
7476,1531729496123,-2.20745,9.74919,-0.842759
7477,1531729496143,-2.14999,9.663,-0.603339
7478,1531729496163,-2.05423,9.69173,-0.512359
7479,1531729496184,-2.09732,9.75398,-0.857124
7480,1531729496203,-2.14999,9.80665,-1.37906
7481,1531729496225,-2.15957,9.7444,-1.14443
7482,1531729496240,-2.16915,9.67258,-0.59855
7483,1531729496265,-2.21224,9.63427,-0.627281
7484,1531729496284,-2.20745,9.73004,-1.2402
7485,1531729496303,-2.1883,9.73482,-1.29766
7486,1531729496324,-2.14042,9.68215,-0.919373
7487,1531729496340,-2.09732,9.65342,-0.723049
7488,1531729496364,-2.17872,9.68215,-0.995988
7489,1531729496383,-2.15478,9.7013,-1.22104
7490,1531729496403,-2.1452,9.69652,-1.15401
7491,1531729496423,-2.19309,9.68215,-0.948104
7492,1531729496439,-2.18351,9.67736,-0.833182
7493,1531729496458,-2.17872,9.71088,-0.986411
7494,1531729496480,-2.15478,9.71567,-1.14922
7495,1531729496502,-2.17872,9.68694,-1.01993
7496,1531729496523,-2.16436,9.67258,-0.92895
7497,1531729496538,-2.21703,9.65342,-0.847547
7498,1531729496561,-2.14042,9.68215,-0.962469
7499,1531729496581,-2.16915,9.64385,-0.952892
7500,1531729496601,-2.14999,9.69173,-0.986411
7501,1531729496619,-2.1069,9.73482,-0.866701
7502,1531729496639,-2.11647,9.57681,-0.967257
7503,1531729496661,-2.12126,9.64863,-0.885855
7504,1531729496681,-2.15957,9.69173,-0.914585
7505,1531729496700,-2.14042,9.73482,-0.962469
7506,1531729496717,-2.16915,9.67736,-0.948104
7507,1531729496736,-2.15478,9.67736,-0.837971
7508,1531729496757,-2.19788,9.68215,-0.914585
7509,1531729496779,-2.14042,9.73961,-0.943315
7510,1531729496799,-2.20267,9.69173,-0.885855
7511,1531729496817,-2.16436,9.69173,-0.890643
7512,1531729496837,-2.20745,9.7013,-0.861913
7513,1531729496858,-2.15957,9.6199,-0.890643
7514,1531729496878,-2.21703,9.68694,-0.890643
7515,1531729496898,-2.19309,9.73004,-0.92895
7516,1531729496916,-2.17872,9.68215,-0.799663
7517,1531729496938,-2.1452,9.71567,-0.837971
7518,1531729496956,-2.1883,9.66779,-0.90022
7519,1531729496980,-2.17394,9.71567,-0.895431
7520,1531729496994,-2.15478,9.7013,-0.842759
7521,1531729497014,-2.19309,9.7013,-0.737414
7522,1531729497034,-2.1452,9.7013,-0.833182
7523,1531729497056,-2.13563,9.68694,-0.919373
7524,1531729497076,-2.13084,9.69652,-0.866701
7525,1531729497097,-2.16915,9.7013,-0.71826
7526,1531729497116,-2.17394,9.67736,-0.737414
7527,1531729497135,-2.19788,9.73961,-0.823605
7528,1531729497155,-2.12126,9.72046,-0.770933
7529,1531729497176,-2.14999,9.72046,-0.761356
7530,1531729497196,-2.15957,9.66779,-0.732626
7531,1531729497215,-2.19309,9.65821,-0.746991
7532,1531729497233,-2.17394,9.68694,-0.833182
7533,1531729497253,-2.17394,9.7444,-0.833182
7534,1531729497275,-2.13563,9.68694,-0.823605
7535,1531729497295,-2.15478,9.67258,-0.622492
7536,1531729497314,-2.13563,9.75877,-1.22104
7537,1531729497334,-2.16436,9.71088,-1.15401
7538,1531729497355,-2.16915,9.72046,-0.756568
7539,1531729497375,-2.16436,9.64385,-0.555455
7540,1531729497395,-2.13563,9.72046,-0.995988
7541,1531729497415,-2.19309,9.71088,-0.914585
7542,1531729497432,-2.19788,9.7444,-1.17316
7543,1531729497452,-2.18351,9.68215,-0.818817
7544,1531729497474,-2.1452,9.7013,-0.732626
7545,1531729497494,-2.14999,9.64863,-0.847547
7546,1531729497514,-2.18351,9.71088,-1.10612
7547,1531729497532,-2.16436,9.67736,-1.04866
7548,1531729497552,-2.1452,9.70609,-0.799663
7549,1531729497573,-2.12126,9.68694,-0.790087
7550,1531729497593,-2.22182,9.65342,-0.976834
7551,1531729497613,-2.14999,9.69173,-1.13964
7552,1531729497633,-2.19309,9.71088,-0.952892
7553,1531729497652,-2.24097,9.65342,-0.852336
7554,1531729497673,-2.16915,9.68215,-0.833182
7555,1531729497693,-2.15957,9.75398,-1.01035
7556,1531729497712,-2.09732,9.7013,-0.876278
7557,1531729497729,-2.15478,9.71088,-0.833182
7558,1531729497749,-2.21224,9.7013,-0.804452
7559,1531729497770,-2.24576,9.69652,-0.837971
7560,1531729497792,-2.20267,9.73961,-0.919373
7561,1531729497812,-2.15957,9.68694,-0.90022
7562,1531729497830,-2.16915,9.71567,-0.866701
7563,1531729497850,-2.13563,9.64385,-0.799663
7564,1531729497869,-2.19309,9.72046,-0.814029
7565,1531729497891,-2.16915,9.68215,-0.861913
7566,1531729497911,-2.13563,9.70609,-0.986411
7567,1531729497929,-2.12605,9.7444,-0.885855
7568,1531729497949,-2.16436,9.64863,-0.794875
7569,1531729497970,-2.09253,9.67736,-0.957681
7570,1531729497990,-2.17394,9.71088,-0.948104
7571,1531729498009,-2.17872,9.74919,-0.938527
7572,1531729498027,-2.11169,9.64863,-0.852336
7573,1531729498049,-2.13084,9.70609,-0.885855
7574,1531729498070,-2.17872,9.70609,-0.938527
7575,1531729498090,-2.23618,9.67736,-0.895431
7576,1531729498110,-2.19309,9.73004,-0.861913
7577,1531729498128,-2.20267,9.71088,-0.837971
7578,1531729498149,-2.17872,9.70609,-0.905008
7579,1531729498169,-2.16436,9.71088,-0.957681
7580,1531729498189,-2.13563,9.69652,-0.852336
7581,1531729498209,-2.15478,9.68215,-0.799663
7582,1531729498228,-2.1883,9.73004,-0.861913
7583,1531729498247,-2.17394,9.7444,-0.857124
7584,1531729498268,-2.15478,9.73482,-0.818817
7585,1531729498288,-2.1883,9.69173,-0.837971
7586,1531729498308,-2.13563,9.65342,-0.833182
7587,1531729498328,-2.1452,9.65821,-0.842759
7588,1531729498346,-2.14999,9.68215,-0.890643
7589,1531729498365,-2.19309,9.64863,-0.871489
7590,1531729498388,-2.16915,9.68215,-0.871489
7591,1531729498406,-2.16436,9.72525,-0.823605
7592,1531729498427,-2.19309,9.68694,-0.828394
7593,1531729498446,-2.15957,9.71567,-0.90022
7594,1531729498467,-2.20745,9.68694,-0.914585
7595,1531729498487,-2.16915,9.71088,-0.823605
7596,1531729498506,-2.14042,9.67736,-0.885855
7597,1531729498528,-2.17394,9.70609,-0.924162
7598,1531729498546,-2.1883,9.68215,-0.80924
7599,1531729498567,-2.1452,9.72046,-0.881066
7600,1531729498587,-2.1452,9.71567,-0.861913
7601,1531729498606,-2.15478,9.73482,-0.957681
7602,1531729498628,-2.09732,9.72525,-0.890643
7603,1531729498644,-2.16915,9.73482,-0.919373
7604,1531729498666,-2.18351,9.67736,-0.828394
7605,1531729498686,-2.17872,9.70609,-0.837971
7606,1531729498705,-2.16915,9.67258,-0.876278
7607,1531729498726,-2.1883,9.69173,-0.871489
7608,1531729498745,-2.14999,9.70609,-0.890643
7609,1531729498766,-2.1452,9.663,-0.895431
7610,1531729498785,-2.15478,9.7013,-0.866701
7611,1531729498805,-2.1883,9.7013,-0.92895
7612,1531729498822,-2.1452,9.68694,-0.871489
7613,1531729498842,-2.16915,9.7013,-0.852336
7614,1531729498862,-2.13084,9.7013,-0.857124
7615,1531729498881,-2.15478,9.663,-0.876278
7616,1531729498904,-2.16436,9.73482,-0.90022
7617,1531729498926,-2.17872,9.71088,-0.876278
7618,1531729498942,-2.1883,9.70609,-0.861913
7619,1531729498960,-2.1452,9.72046,-0.895431
7620,1531729498983,-2.19788,9.71088,-0.933739
7621,1531729499001,-2.17872,9.67258,-0.871489
7622,1531729499026,-2.17872,9.7013,-0.866701
7623,1531729499040,-2.13084,9.68215,-0.905008
7624,1531729499062,-2.16915,9.69173,-0.871489
7625,1531729499082,-2.1883,9.66779,-0.861913
7626,1531729499103,-2.21703,9.68215,-0.885855
7627,1531729499121,-2.18351,9.72525,-0.919373
7628,1531729499141,-2.19788,9.68215,-0.967257
7629,1531729499163,-2.20745,9.65342,-0.924162
7630,1531729499183,-2.20745,9.69173,-0.871489
7631,1531729499203,-2.17872,9.69173,-0.818817
7632,1531729499220,-2.18351,9.69652,-0.871489
7633,1531729499239,-2.19788,9.70609,-0.914585
7634,1531729499265,-2.24576,9.67736,-0.866701
7635,1531729499283,-2.20267,9.65821,-0.818817
7636,1531729499302,-2.1452,9.72525,-0.814029
7637,1531729499320,-2.1452,9.66779,-0.885855
7638,1531729499340,-2.14999,9.70609,-0.790087
7639,1531729499363,-2.16915,9.68215,-0.814029
7640,1531729499383,-2.13084,9.69652,-0.837971
7641,1531729499401,-2.21224,9.69652,-0.871489
7642,1531729499418,-2.21703,9.72046,-0.90022
7643,1531729499440,-2.13563,9.70609,-0.948104
7644,1531729499458,-2.09253,9.7013,-0.881066
7645,1531729499479,-2.14999,9.71088,-0.943315
7646,1531729499499,-2.21703,9.67736,-0.924162
7647,1531729499519,-2.19788,9.69652,-0.90022
7648,1531729499539,-2.18351,9.70609,-0.943315
7649,1531729499560,-2.14999,9.67736,-0.995988
7650,1531729499581,-2.16436,9.70609,-0.995988
7651,1531729499601,-2.11647,9.73482,-0.914585
7652,1531729499618,-2.24097,9.64863,-0.876278
7653,1531729499638,-2.17394,9.67258,-0.919373
7654,1531729499660,-2.22182,9.70609,-0.972046
7655,1531729499677,-2.2314,9.73004,-0.881066
7656,1531729499700,-2.17872,9.67258,-0.890643
7657,1531729499717,-2.10211,9.72525,-0.799663
7658,1531729499735,-2.18351,9.71088,-0.943315
7659,1531729499755,-2.14042,9.73482,-0.952892
7660,1531729499780,-2.1883,9.74919,-0.890643
7661,1531729499799,-2.14042,9.69173,-0.852336
7662,1531729499817,-2.21224,9.71567,-0.943315
7663,1531729499837,-2.17394,9.7013,-0.92895
7664,1531729499856,-2.19309,9.64385,-0.833182
7665,1531729499877,-2.14999,9.70609,-0.80924
7666,1531729499896,-2.20267,9.67736,-0.847547
7667,1531729499917,-2.13563,9.74919,-0.914585
7668,1531729499935,-2.20267,9.69652,-0.852336
7669,1531729499954,-2.15478,9.73004,-0.842759
7670,1531729499978,-2.17394,9.73004,-0.842759
7671,1531729499994,-2.1883,9.7013,-0.919373
7672,1531729500014,-2.17394,9.72525,-0.914585
7673,1531729500035,-2.16915,9.72046,-0.92895
7674,1531729500055,-2.1452,9.72046,-0.92895
7675,1531729500075,-2.21224,9.67258,-0.995988
7676,1531729500096,-2.22661,9.69652,-0.981623
7677,1531729500115,-2.19788,9.65821,-0.866701
7678,1531729500135,-2.15478,9.69173,-0.890643
7679,1531729500156,-2.10211,9.67736,-0.972046
7680,1531729500176,-2.14042,9.71088,-0.866701
7681,1531729500194,-2.07817,9.72046,-0.866701
7682,1531729500215,-2.13084,9.63906,-0.914585
7683,1531729500234,-2.34632,9.7444,-0.881066
7684,1531729500254,-2.03507,9.69652,-0.837971
7685,1531729500275,-2.13563,9.76834,-0.938527
7686,1531729500295,-2.23618,9.76356,-0.866701
7687,1531729500314,-2.04465,9.75398,-0.881066
7688,1531729500335,-2.24576,9.60554,-0.943315
7689,1531729500353,-2.13563,9.72046,-0.914585
7690,1531729500374,-2.23618,9.65821,-0.919373
7691,1531729500394,-2.11647,9.63427,-0.986411
7692,1531729500414,-2.05901,9.72046,-0.938527
7693,1531729500432,-2.14999,9.68694,-0.866701
7694,1531729500452,-2.1069,9.7444,-0.80924
7695,1531729500474,-2.07338,9.71088,-0.914585
7696,1531729500494,-2.18351,9.73961,-0.909797
7697,1531729500511,-2.15478,9.71088,-0.909797
7698,1531729500532,-2.09253,9.71567,-0.799663
7699,1531729500553,-2.11169,9.71567,-0.92895
7700,1531729500573,-2.09732,9.69173,-0.92895
7701,1531729500593,-2.14999,9.69652,-0.814029
7702,1531729500613,-2.14042,9.70609,-0.756568
7703,1531729500631,-2.23618,9.71088,-0.890643
7704,1531729500653,-2.22182,9.74919,-0.914585
7705,1531729500672,-2.16915,9.72046,-0.814029
7706,1531729500693,-2.17872,9.72525,-0.857124
7707,1531729500712,-2.17394,9.69652,-0.823605
7708,1531729500728,-2.23618,9.68694,-0.924162
7709,1531729500751,-2.20267,9.75877,-0.895431
7710,1531729500771,-2.14042,9.70609,-0.866701
