id,attr_time,attr_x,attr_y,attr_z
1486934,1531921245003,0.00852238,-0.0010653,-0.0170448
1486935,1531921245023,0.00745708,-0.00639178,-0.01811
1486936,1531921245043,0.00213059,-0.00852238,-0.0191753
1486937,1531921245063,0.00426119,-0.00532648,-0.0117183
1486938,1531921245083,-0.00213059,-0.00639178,0.00319589
1486939,1531921245103,-0.00319589,-0.00213059,0.00745708
1486940,1531921245123,-0.00639178,-0.0010653,0.00745708
1486941,1531921245143,-0.00426119,-0.00532648,0.00426119
1486942,1531921245163,-0.010653,-0.00532648,0.00639178
1486943,1531921245181,-0.00958767,-0.00213059,0.0117183
1486944,1531921245202,-0.0149142,-0.00213059,0.0202406
1486945,1531921245222,-0.0170448,-0.00213059,0.0223712
1486946,1531921245244,-0.0170448,-0.00426119,0.028763
1486947,1531921245261,-0.0202406,-0.00319589,0.028763
1486948,1531921245280,-0.0191753,-0.00213059,0.0255671
1486949,1531921245304,-0.01811,-0.00319589,0.0266324
1486950,1531921245324,-0.0159795,0.0,0.0276977
1486951,1531921245343,-0.0159795,-0.00319589,0.0266324
1486952,1531921245363,-0.0117183,-0.00319589,0.0213059
1486953,1531921245384,-0.00958767,-0.0010653,0.0149142
1486954,1531921245404,-0.00852238,-0.00213059,0.0170448
1486955,1531921245424,-0.00958767,-0.00532648,0.0213059
1486956,1531921245444,-0.00958767,-0.00426119,0.01811
1486957,1531921245464,-0.0117183,-0.00532648,0.01811
1486958,1531921245484,-0.010653,0.0,0.01811
1486959,1531921245504,-0.0170448,-0.00319589,0.0255671
1486960,1531921245523,-0.01811,-0.00319589,0.0362201
1486961,1531921245544,-0.0245018,0.0010653,0.039416
1486962,1531921245564,-0.0234365,0.00213059,0.0372854
1486963,1531921245585,-0.0234365,0.0010653,0.0372854
1486964,1531921245605,-0.0298283,-0.0117183,0.0436772
1486965,1531921245625,-0.0255671,-0.0117183,0.0372854
1486966,1531921245645,-0.0255671,-0.00852238,0.0223712
1486967,1531921245665,-0.0127836,-0.00958767,0.00426119
1486968,1531921245685,0.00319589,-0.00852238,-0.0213059
1486969,1531921245705,0.0308936,-0.0010653,-0.0585913
1486970,1531921245725,0.0468731,-0.00426119,-0.0948114
1486971,1531921245745,0.0596566,-0.00213059,-0.10866
1486972,1531921245765,0.0671137,0.00213059,-0.116117
1486973,1531921245785,0.0628525,-0.00213059,-0.12464
1486974,1531921245805,0.0585913,-0.00319589,-0.117183
1486975,1531921245825,0.0436772,-0.00426119,-0.0980073
1486976,1531921245845,0.0276977,-0.00532648,-0.068179
1486977,1531921245865,0.01811,-0.0010653,-0.0372854
1486978,1531921245885,0.0010653,-0.0010653,-0.00426119
1486979,1531921245905,-0.0117183,-0.00213059,0.0191753
1486980,1531921245925,-0.0149142,0.00213059,0.0319589
1486981,1531921245945,-0.0159795,0.00213059,0.0330242
1486982,1531921245966,-0.0170448,0.0010653,0.0308936
1486983,1531921245986,-0.0138489,0.0,0.0266324
1486984,1531921246006,-0.00958767,0.0,0.01811
1486985,1531921246026,-0.00426119,0.00213059,0.010653
1486986,1531921246046,0.0,0.00213059,0.00319589
1486987,1531921246066,0.0010653,0.00319589,0.0
1486988,1531921246086,0.00213059,0.0,-0.00319589
1486989,1531921246106,0.00213059,-0.0010653,0.0
1486990,1531921246126,0.00213059,0.00532648,0.0
1486991,1531921246146,0.0010653,0.0010653,0.0010653
1486992,1531921246166,-0.0010653,0.00319589,0.00639178
1486993,1531921246186,-0.0010653,0.0010653,0.00745708
1486994,1531921246206,-0.00319589,0.0010653,0.00639178
1486995,1531921246226,-0.00426119,0.0,0.00852238
1486996,1531921246247,-0.00426119,0.0,0.00852238
1486997,1531921246264,-0.00213059,0.0,0.00745708
1486998,1531921246284,-0.00213059,0.0010653,0.00852238
1486999,1531921246306,-0.00426119,0.0,0.00958767
1487000,1531921246330,-0.00426119,0.0010653,0.00958767
1487001,1531921246344,-0.00426119,-0.0010653,0.00745708
1487002,1531921246367,-0.00426119,-0.0010653,0.00745708
1487003,1531921246387,-0.0010653,-0.0010653,0.00426119
1487004,1531921246406,-0.0010653,0.0,0.0
1487005,1531921246425,0.0010653,-0.00213059,-0.0010653
1487006,1531921246443,-0.0010653,0.0,0.0
1487007,1531921246467,0.0,-0.0010653,0.00213059
1487008,1531921246487,-0.00319589,-0.00213059,0.00639178
1487009,1531921246507,-0.00319589,-0.0010653,0.00745708
1487010,1531921246526,0.0,0.00213059,0.0
1487011,1531921246547,0.00319589,0.0,-0.00426119
1487012,1531921246567,0.00319589,0.0,-0.00745708
1487013,1531921246587,0.00532648,-0.0010653,-0.00639178
1487014,1531921246607,0.00319589,0.0010653,-0.00639178
1487015,1531921246627,0.00319589,0.00319589,-0.00426119
1487016,1531921246647,0.00426119,0.0010653,-0.00532648
1487017,1531921246667,0.00426119,0.00213059,-0.00745708
1487018,1531921246687,0.00532648,0.0,-0.00745708
1487019,1531921246707,-0.0010653,-0.0010653,0.00213059
1487020,1531921246728,-0.00532648,-0.00213059,0.0117183
1487021,1531921246748,-0.0127836,0.0,0.0213059
1487022,1531921246768,-0.0138489,-0.00213059,0.0245018
1487023,1531921246788,-0.0149142,-0.00426119,0.0255671
1487024,1531921246808,-0.0159795,-0.00426119,0.0202406
1487025,1531921246828,-0.00426119,0.0,0.00745708
1487026,1531921246848,0.00213059,0.0,-0.00958767
1487027,1531921246868,0.010653,0.0010653,-0.0202406
1487028,1531921246888,0.0149142,0.0,-0.0298283
1487029,1531921246908,0.0159795,0.0,-0.0255671
1487030,1531921246928,0.0138489,0.0,-0.0191753
1487031,1531921246948,0.00639178,0.0010653,-0.00639178
1487032,1531921246968,0.0010653,0.00319589,0.00532648
1487033,1531921246988,-0.00639178,0.0010653,0.0149142
1487034,1531921247009,-0.00958767,-0.00213059,0.0234365
1487035,1531921247029,-0.00958767,0.00319589,0.0245018
1487036,1531921247049,-0.00958767,0.0010653,0.0223712
1487037,1531921247069,-0.00745708,0.0,0.0138489
1487038,1531921247089,-0.00426119,0.0010653,0.00745708
1487039,1531921247109,-0.0010653,-0.0010653,-0.0010653
1487040,1531921247129,0.00213059,0.00213059,-0.00852238
1487041,1531921247149,0.00532648,0.0010653,-0.010653
1487042,1531921247169,0.00532648,-0.00213059,-0.00958767
1487043,1531921247189,0.00213059,-0.00213059,-0.010653
1487044,1531921247210,0.00319589,0.0010653,-0.00532648
1487045,1531921247229,0.0010653,0.0010653,-0.00319589
1487046,1531921247249,0.0,-0.0010653,0.0010653
1487047,1531921247267,-0.00213059,-0.0010653,0.00213059
