id,attr_time,attr_x,attr_y,attr_z
134453,1532076519003,4.80277,-0.402226,-8.58561
134454,1532076519023,4.74531,-0.42138,-8.62392
134455,1532076519043,4.74531,-0.387861,-8.57124
134456,1532076519063,4.76925,-0.430956,-8.57603
134457,1532076519083,4.71179,-0.387861,-8.59518
134458,1532076519102,4.76925,-0.368707,-8.55688
134459,1532076519123,4.79798,-0.392649,-8.63828
134460,1532076519143,4.77404,-0.368707,-8.52336
134461,1532076519161,4.77883,-0.416591,-8.56645
134462,1532076519183,4.75967,-0.373495,-8.65264
134463,1532076519204,4.79319,-0.349553,-8.48505
134464,1532076519223,4.84586,-0.35913,-8.57603
134465,1532076519243,4.72137,-0.387861,-8.56167
134466,1532076519264,4.67827,-0.426168,-8.62392
134467,1532076519284,4.67348,-0.474052,-8.64786
134468,1532076519304,4.68785,-0.497994,-8.64786
134469,1532076519324,4.707,-0.526724,-8.5904
134470,1532076519344,4.75488,-0.464475,-8.6287
134471,1532076519364,4.61602,-0.536301,-8.72447
134472,1532076519384,4.69742,-0.579397,-8.69574
134473,1532076519402,4.6639,-0.521936,-8.40365
134474,1532076519421,4.94642,-0.59855,-8.50421
134475,1532076519443,4.98473,-0.531513,-8.59997
134476,1532076519461,4.86981,-0.579397,-8.57124
134477,1532076519484,4.76925,-0.617704,-8.61434
134478,1532076519504,4.63039,-0.656011,-8.60476
134479,1532076519524,4.71179,-0.694318,-8.56167
134480,1532076519544,4.72137,-0.603339,-8.56167
134481,1532076519564,4.7884,-0.646435,-8.51378
134482,1532076519584,4.7501,-0.608127,-8.55209
134483,1532076519605,4.81713,-0.651223,-8.56645
134484,1532076519624,4.68306,-0.68953,-8.65264
134485,1532076519644,4.76446,-0.790087,-8.45632
134486,1532076519664,4.75488,-0.746991,-8.57124
134487,1532076519685,4.79319,-0.646435,-8.47547
134488,1532076519705,4.74531,-0.751779,-8.53772
134489,1532076519725,4.8315,-0.790087,-8.47547
134490,1532076519745,4.7501,-0.80924,-8.27915
134491,1532076519765,5.06134,-0.641646,-8.57603
134492,1532076519785,5.0374,-0.440533,-8.39407
134493,1532076519804,4.85544,-0.536301,-8.6718
134494,1532076519825,4.90811,-0.172383,-8.39407
134495,1532076519845,5.04698,-0.426168,-9.37091
134496,1532076519865,4.87459,-0.263362,-8.2983
134497,1532076519883,4.96557,-0.282516,-8.59997
134498,1532076519905,4.91769,-0.00957681,-8.66222
134499,1532076519925,4.79798,-0.325611,-8.40844
134500,1532076519945,4.92727,-0.172383,-8.50899
134501,1532076519965,4.65912,-0.440533,-8.96389
134502,1532076519985,4.86981,-0.258574,-8.40844
134503,1532076520005,4.89854,-0.258574,-8.58561
134504,1532076520026,4.87938,-0.201113,-8.41801
134505,1532076520046,4.9943,-0.311246,-8.47547
134506,1532076520066,4.89375,-0.383072,-8.41801
134507,1532076520086,4.80277,-0.0383072,-8.52336
134508,1532076520104,4.69742,-0.124498,-8.53294
134509,1532076520126,4.64475,-0.248997,-8.48984
134510,1532076520144,4.41491,-0.124498,-9.71567
134511,1532076520164,4.59208,-0.35913,-8.88728
134512,1532076520186,4.67827,0.6608,-9.75398
134513,1532076520206,5.96635,-0.794875,-7.91044
134514,1532076520226,4.51546,0.493206,-9.29429
134515,1532076520246,4.89375,0.584185,-8.95431
134516,1532076520266,4.75488,-0.129287,-8.82982
134517,1532076520287,4.59687,0.287304,-8.46111
134518,1532076520306,4.52025,-0.469264,-8.51857
134519,1532076520327,4.59208,-0.282516,-8.75799
134520,1532076520347,4.707,-0.287304,-8.59518
134521,1532076520367,4.73573,-0.287304,-8.43238
134522,1532076520387,4.77404,-0.0526724,-8.66701
134523,1532076520405,4.75488,-0.186748,-8.84418
134524,1532076520426,4.80277,0.0814029,-8.71011
134525,1532076520446,4.61602,0.0622492,-8.53294
134526,1532076520467,4.67827,-0.368707,-8.58561
134527,1532076520487,4.79798,-0.248997,-8.63828
134528,1532076520507,4.76925,-0.483629,-8.56167
134529,1532076520527,4.6639,-0.35913,-8.62392
134530,1532076520547,4.86502,-0.368707,-8.57124
134531,1532076520567,4.98952,-0.287304,-8.50421
134532,1532076520587,4.94163,-0.344765,-8.60955
134533,1532076520607,4.8315,-0.248997,-8.59518
134534,1532076520627,4.81235,-0.167594,-8.5473
134535,1532076520647,4.75967,-0.138864,-8.6287
134536,1532076520667,4.6256,-0.268151,-8.69574
134537,1532076520687,4.48673,-0.172383,-8.73405
134538,1532076520708,4.61123,-0.148441,-8.68616
134539,1532076520728,4.61602,-0.0526724,-8.63349
134540,1532076520748,4.71658,-0.0766145,-8.61913
134541,1532076520768,4.87938,-0.0287304,-8.48984
134542,1532076520788,5.03261,0.129287,-8.51857
134543,1532076520806,4.88896,-0.105345,-8.52815
134544,1532076520828,4.83629,-0.0718261,-8.59518
134545,1532076520846,4.80277,-0.186748,-8.6718
