id,attr_time,attr_lat,attr_lng
113,1532076519000,49.4341,11.112
114,1532076529000,49.4341,11.1121
115,1532076538000,49.434,11.1121
116,1532076548000,49.4341,11.1121
117,1532076558000,49.4341,11.1122
118,1532076569000,49.434,11.1122
119,1532076578000,49.434,11.1122
120,1532076588000,49.4341,11.1123
121,1532076608000,49.4342,11.1125
122,1532076612000,49.4342,11.1125
123,1532076623000,49.4343,11.1127
124,1532076632000,49.4344,11.1128
125,1532076642000,49.4343,11.1129
126,1532076652000,49.4343,11.1129
127,1532076662000,49.4343,11.113
128,1532076672000,49.4343,11.1132
129,1532076681000,49.4341,11.1132
130,1532076692000,49.4342,11.1132
131,1532076702000,49.4341,11.1133
132,1532076712000,49.4339,11.1133
133,1532076722000,49.4338,11.1134
134,1532076732000,49.4336,11.1134
135,1532076741000,49.4335,11.1136
136,1532076751000,49.4335,11.1137
137,1532076761000,49.4335,11.1139
138,1532076771000,49.4334,11.114
139,1532076781000,49.4333,11.1142
140,1532076791000,49.4333,11.1143
141,1532076801000,49.4332,11.1144
142,1532076811000,49.4331,11.1145
143,1532076821000,49.433,11.1146
144,1532076831000,49.4329,11.1147
145,1532076843000,49.4329,11.1147
146,1532076852000,49.4329,11.1146
147,1532076862000,49.4329,11.1145
148,1532076871000,49.4329,11.1144
149,1532076881000,49.4328,11.1144
150,1532076891000,49.4328,11.1144
151,1532076901000,49.4328,11.1143
152,1532076911000,49.4328,11.1142
153,1532076922000,49.4328,11.114
154,1532076932000,49.4326,11.1138
155,1532076942000,49.4325,11.1136
156,1532076953000,49.4328,11.1135
157,1532076962000,49.4328,11.1135
158,1532076972000,49.4327,11.1133
159,1532076983000,49.4326,11.1132
160,1532076992000,49.4326,11.1132
161,1532077002000,49.4327,11.113
162,1532077013000,49.4327,11.113
163,1532077024000,49.4327,11.113
164,1532077037000,49.4327,11.113
165,1532077043000,49.4327,11.113
166,1532077053000,49.4327,11.113
167,1532077063000,49.4327,11.113
168,1532077072000,49.4327,11.113
169,1532077082000,49.4326,11.113
170,1532077096000,49.4327,11.113
171,1532077104000,49.4327,11.113
172,1532077114000,49.4327,11.113
173,1532077124000,49.4327,11.113
174,1532077134000,49.4327,11.113
175,1532077145000,49.4327,11.113
176,1532077153000,49.4327,11.1129
177,1532077164000,49.4327,11.1129
178,1532077174000,49.4327,11.1129
179,1532077185000,49.4327,11.113
180,1532077192000,49.4327,11.1129
181,1532077202000,49.4327,11.1129
182,1532077212000,49.4327,11.1129
183,1532077223000,49.4327,11.113
184,1532077232000,49.4326,11.113
185,1532077242000,49.4326,11.1129
186,1532077252000,49.4327,11.1128
187,1532077262000,49.4326,11.1128
188,1532077271000,49.4326,11.1129
189,1532077282000,49.4326,11.1129
190,1532077292000,49.4326,11.1129
191,1532077302000,49.4326,11.1129
192,1532077312000,49.4327,11.1129
193,1532077322000,49.4326,11.1129
194,1532077332000,49.4326,11.1129
195,1532077341000,49.4326,11.1129
196,1532077352000,49.4326,11.1129
197,1532077361000,49.4326,11.1129
198,1532077371000,49.4326,11.1129
199,1532077381000,49.4326,11.1129
200,1532077392000,49.4326,11.1129
201,1532077401000,49.4326,11.1129
202,1532077412000,49.4326,11.1129
203,1532077421000,49.4327,11.1131
204,1532077431000,49.4328,11.1132
205,1532077441000,49.4328,11.1133
206,1532077451000,49.4328,11.1134
207,1532077462000,49.4328,11.1135
208,1532077471000,49.4328,11.1136
209,1532077481000,49.4328,11.1138
210,1532077492000,49.4329,11.114
211,1532077501000,49.433,11.1142
212,1532077511000,49.4329,11.1143
213,1532077521000,49.4328,11.1143
214,1532077531000,49.4328,11.1143
215,1532077541000,49.4327,11.1144
216,1532077551000,49.4326,11.1145
217,1532077561000,49.4325,11.1146
218,1532077572000,49.4325,11.1147
219,1532077581000,49.4324,11.1148
220,1532077591000,49.4323,11.115
221,1532077601000,49.4323,11.1151
222,1532077611000,49.4322,11.1152
223,1532077621000,49.4321,11.1152
224,1532077631000,49.432,11.1152
225,1532077641000,49.4319,11.1152
226,1532077651000,49.4318,11.115
227,1532077661000,49.4317,11.1149
228,1532077672000,49.4317,11.1147
229,1532077681000,49.4316,11.1147
230,1532077692000,49.4316,11.1145
231,1532077702000,49.4315,11.1145
232,1532077712000,49.4315,11.1143
233,1532077722000,49.4315,11.1143
234,1532077732000,49.4315,11.1143
235,1532077743000,49.4315,11.1143
236,1532077752000,49.4315,11.1143
237,1532077762000,49.4314,11.1142
238,1532077771000,49.4314,11.1141
239,1532077782000,49.4314,11.1141
240,1532077792000,49.4313,11.114
241,1532077801000,49.4313,11.1139
242,1532077811000,49.4312,11.1137
243,1532077821000,49.4311,11.1136
244,1532077831000,49.431,11.1137
245,1532077841000,49.4311,11.1137
246,1532077851000,49.4312,11.1137
247,1532077862000,49.4313,11.114
248,1532077873000,49.4313,11.114
249,1532077882000,49.4313,11.114
250,1532077891000,49.4312,11.1141
251,1532077901000,49.431,11.114
252,1532077911000,49.4309,11.1139
253,1532077921000,49.4309,11.1138
254,1532077931000,49.4309,11.1137
255,1532077941000,49.4308,11.1136
256,1532077951000,49.4307,11.1135
257,1532077961000,49.4307,11.1134
258,1532077971000,49.4306,11.1132
259,1532077981000,49.4305,11.1131
260,1532077991000,49.4304,11.113
261,1532078001000,49.4304,11.1129
262,1532078012000,49.4304,11.1128
263,1532078022000,49.4304,11.1129
264,1532078034000,49.4304,11.1129
265,1532078043000,49.4304,11.1129
266,1532078051000,49.4303,11.1129
267,1532078061000,49.4303,11.1129
268,1532078071000,49.4303,11.1128
269,1532078082000,49.4302,11.1128
270,1532078091000,49.4301,11.1128
271,1532078101000,49.43,11.1126
272,1532078111000,49.4299,11.1125
273,1532078121000,49.4299,11.1124
274,1532078131000,49.4298,11.1123
275,1532078142000,49.4298,11.1123
276,1532078152000,49.4298,11.1123
277,1532078161000,49.4298,11.1122
278,1532078171000,49.4297,11.1121
279,1532078182000,49.4296,11.1119
280,1532078191000,49.4295,11.1118
281,1532078201000,49.4294,11.1117
282,1532078211000,49.4294,11.1116
283,1532078222000,49.4293,11.1115
284,1532078232000,49.4293,11.1115
285,1532078241000,49.4293,11.1115
286,1532078252000,49.4293,11.1115
287,1532078261000,49.4292,11.1115
288,1532078271000,49.4291,11.1116
289,1532078281000,49.429,11.1117
290,1532078300000,49.4289,11.112
291,1532078311000,49.4288,11.1121
292,1532078321000,49.4287,11.1122
293,1532078331000,49.4286,11.1124
294,1532078341000,49.4286,11.1124
